subject	block_num	trial_num	component_label	onset	duration	type_of_stimulus	concept_label	concept_examplar	response_time	response	expected_response	wrd_img_match	correct
0	1	49	fix_cross_after_trial	222.16062220000094	0.9506462666652453	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	50	image	223.16164059999937	0.7631548666688843	image	chair	chair_28.jpg	n/a	n/a	n/a	1	n/a
0	1	50	word	223.92479546666826	0.5660064999974566	word	Stuhl_german	n/a	n/a	n/a	n/a	1	n/a
0	1	50	possible_button_press	225.42587819999972	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	50	fix_cross_after_trial	225.44054350000079	1.0334328666652084	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	50	break_instruction	226.47417580000183	15.011773466663982	break	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	2	51	image	244.6043529000017	0.7638499666648215	image	ball	ball_26.jpg	n/a	n/a	n/a	1	n/a
0	2	51	word	245.3682028666665	0.7822099000004528	word	Ball_german	n/a	n/a	n/a	n/a	1	n/a
0	2	51	possible_button_press	246.8542503000026	0.0	response	n/a	n/a	[]	m	m	1	1
0	2	51	fix_cross_after_trial	246.86777979999897	0.9495971666695198	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	2	52	image	247.86898629999996	0.7646355666659304	image	bread	bread_21.jpg	n/a	n/a	n/a	1	n/a
0	2	52	word	248.6336218666659	0.9327654000007897	word	Brot_german	n/a	n/a	n/a	n/a	1	n/a
0	2	52	possible_button_press	250.1350366000006	0.0	response	n/a	n/a	[]	m	m	1	1
0	2	52	fix_cross_after_trial	250.1501253000024	0.8327090666646484	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	2	53	image	251.0184967000023	0.7646345666655918	image	chair	chair_18.jpg	n/a	n/a	n/a	1	n/a
0	2	53	word	251.78313126666788	0.5658232999994652	word	Stuhl_german	n/a	n/a	n/a	n/a	1	n/a
0	2	53	possible_button_press	253.28449510000064	0.0	response	n/a	n/a	[]	m	m	1	1
0	2	53	fix_cross_after_trial	253.2986402000024	0.9838082666649655	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	2	54	image	254.3513235999999	0.763787266667606	image	bread	bread_38.jpg	n/a	n/a	n/a	1	n/a
0	2	54	word	255.1151108666675	0.91673969999826	word	Brot_german	n/a	n/a	n/a	n/a	1	n/a
0	2	54	possible_button_press	256.6166368000013	0.0	response	n/a	n/a	[]	m	m	1	1
0	2	54	fix_cross_after_trial	256.63122940000176	1.1828088666663916	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	2	55	image	257.85009849999915	0.7636525666678153	image	bicycle	bicycle_20.jpg	n/a	n/a	n/a	1	n/a
0	2	55	word	258.61375106666696	0.702187300001242	word	Fahrrad_german	n/a	n/a	n/a	n/a	1	n/a
0	2	55	possible_button_press	260.10112540000046	0.0	response	n/a	n/a	[]	m	m	1	1
0	2	55	fix_cross_after_trial	260.1139390000026	0.9159371666648894	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	2	56	image	261.04922409999926	0.7645927666674197	image	hammer	hammer_27.jpg	n/a	n/a	n/a	1	n/a
0	2	56	word	261.83048353333334	0.5148683333352437	word	Hammer_german	n/a	n/a	n/a	n/a	1	n/a
0	2	56	possible_button_press	263.30110440000135	0.0	response	n/a	n/a	[]	m	m	1	1
0	2	56	fix_cross_after_trial	263.312711999999	1.199342566669884	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	2	57	image	264.54974270000093	0.7651757666646972	image	house	house_25.jpg	n/a	n/a	n/a	0	n/a
0	2	57	word	265.31491846666563	0.9126746000001731	word	Blume_german	n/a	n/a	n/a	n/a	0	n/a
0	2	57	possible_button_press	267.01633050000237	0.0	response	n/a	n/a	[]	m	r	0	0
0	2	57	fix_cross_after_trial	267.0286565000024	1.0497878666649285	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	2	58	image	268.13716900000145	0.7574247666673273	image	jacket	jacket_44.jpg	n/a	n/a	n/a	1	n/a
0	2	58	word	268.8945937666688	0.5486627999998746	word	Jacke_german	n/a	n/a	n/a	n/a	1	n/a
0	2	58	possible_button_press	270.3828324999995	0.0	response	n/a	n/a	[]	m	m	1	1
0	2	58	fix_cross_after_trial	270.3946367000026	1.1824482666636413	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	2	59	image	271.6140255999999	0.7647178666668424	image	dog	dog_05.jpg	n/a	n/a	n/a	1	n/a
0	2	59	word	272.3787434666667	0.49962140000207	word	Hund_german	n/a	n/a	n/a	n/a	1	n/a
0	2	59	possible_button_press	273.8809770000007	0.0	response	n/a	n/a	[]	m	m	1	1
0	2	59	fix_cross_after_trial	273.89345610000237	0.9166982666649801	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	2	60	image	274.86794200000077	0.7573436666682483	image	hammer	hammer_45.jpg	n/a	n/a	n/a	1	n/a
0	2	60	word	275.625285666669	n/a	word	Hammer_german	n/a	n/a	n/a	n/a	1	n/a
