ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.duration,key_resp_prc.keys,key_resp_prc.rt,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.duration,trials_practice.key_resp_prc.keys,trials_practice.key_resp_prc.rt,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,0.99,23.405269999988377,24.40682019999076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,23.41916449999553,24.471567999993567,21.920447099997546,60.657748360176235,,,21.139071699988563,21.920447099997546,,,21.11982179999177,21.891542099998333,banana.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,21.920447099997546,,1,right,,0,,,2025.2.4,,,,,21.899582599988207,23.405205899995053,,,21.90467706666483,22.570323799998732,5,0,2026-08-06_16:25:33.337089,5,,,,,,,,,,,,,None,,5,5,0,5,banana,banane,Banane,
,,0.79,26.72330929999589,27.52095009999175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,26.7347613999882,27.572091999987606,25.23584929999197,60.657748360176235,,,24.471567999993567,25.23584929999197,,,24.446830399989267,25.22062759999244,glasses.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,25.23584929999197,26.7347613999882,1,left,,0,,,2025.2.4,,,,,25.225582200000645,26.723228699993342,,,25.234845866656784,25.753309799998533,6,0,2026-08-06_16:25:36.669586,6,,,,,,,,,,,,,None,,6,6,0,6,glasses,lunettes,Brille,
,,0.77,29.8208173999883,30.602548599999864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,29.837761399990995,30.65435179999622,28.33416989998659,60.657748360176235,,,27.572091999987606,28.33416989998659,,,27.55329989999882,28.320020699989982,basket.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,28.33416989998659,29.837761399990995,1,right,,0,,,2025.2.4,,,,,28.32399419999274,29.82074250000005,,,28.33410206665964,28.833611800000654,7,0,2026-08-06_16:25:39.770110,7,,,,,,,,,,,,,None,,7,7,0,7,basket,panier,Korb,
,,1.23,33.11868390000018,34.3511007999914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,33.132571299996926,34.40227799999411,31.41646860000037,60.657748360176235,,,30.65435179999622,31.41646860000037,,,30.642698699986795,31.402829899991048,bear.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,31.41646860000037,32.915796699991915,0,right,,0,,,2025.2.4,,,,,31.407111799999257,33.1186228999868,,,31.41678176666416,31.9828933999961,8,0,2026-08-06_16:25:42.852369,8,,,,,,,,,,,,,None,,8,8,0,8,milk,lait,Milch,
,,1.1,36.05068329999631,37.15046209999127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,36.064977699992596,37.202723700000206,35.18133239999588,60.657748360176235,,,34.40227799999411,35.18133239999588,,,34.385531699997955,35.155302499988466,belt.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,0.20142729999497533,r,0.45915389999572653,35.18133239999588,,1,left,,0,,,2025.2.4,,,,,35.15909989998909,36.05062489998818,,,35.16807986665323,35.748314899989055,9,0,2026-08-06_16:25:46.600296,9,,,,,,,,,,,,0.20142729999497533,r,0.45915389999572653,9,9,0,9,belt,ceinture,Gürtel,
,,1.25,39.46625939999649,40.719067799989716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,39.48237599999993,40.912966599993524,37.980394399986835,60.657748360176235,,,37.202723700000206,37.980394399986835,,,37.18606889998773,37.95463959999324,bike.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,37.980394399986835,39.48237599999993,1,left,,0,,,2025.2.4,,,,,37.95838709999225,39.46620399999665,,,37.96779056666516,38.681449899988365,10,0,2026-08-06_16:25:49.400741,10,,,,,,,,,,,,,None,,10,10,0,10,bicycle,vélo,Fahrrad,
,,,,,,,,,,,,,,,,,,,,,,,,,0.21767699999327306,r,0.6248013000003994,41.22996169999533,,,,,,,,,,,,,,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,,,,60.657748360176235,,,,,,,,,,,,,,,40.912966599993524,,,,,,,,,,40.89332019998983,42.083416299996316,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18390109999745619,r,1.2918600999983028,42.59635919998982,,,,,,,,,,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,,,,60.657748360176235,,,,,,,,,,,,,,,,42.111771899988526,,,,,,,,,,,42.096638199989684,42.71717439999338,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.40220289998979,46.38308229998802,0.97,,,1,46.392211699989275,46.392282199987676,,,hammer,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-06_16h25.10.644,47,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,43.91350460000103,45.41377929999726,45.41377929999726,46.46956179999688,,,,60.657748360176235,43.1566645999992,43.91350460000103,,,43.104993999993894,43.90116139999009,,,hammer\hammer_47.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,43.91350460000103,,,,,,,None,,0,,,2025.2.4,,,43.9065830999898,45.40207339999324,,,43.914803966665446,44.44679409998935,,,0,0,2026-08-06_16:25:55.354682,0,1,,None,,,None,,0,0,0,0,,,,,,,,hammer,Marteau,Hammer,
48.74189919998753,49.53261080000084,0.77,,,1,49.53268869999738,49.53272389998892,,,hand,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-06_16h25.10.644,50,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,47.24607919999107,48.76603879999311,48.76603879999311,49.59267600000021,,,,60.657748360176235,46.46956179999688,47.24607919999107,,,46.44604549999349,47.21615079999901,,,hand\hand_50.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,47.24607919999107,,,,,,,None,,0,,,2025.2.4,,,47.22308279998833,48.74176159998751,,,47.230007166657984,47.7297455999942,,,1,0,2026-08-06_16:25:58.667579,1,2,,None,,,None,,1,1,0,1,,,,,,,,hand,Main,Hand,
