subject	block_num	trial_num	component_label	onset	duration	type_of_stimulus	concept_label	concept_examplar	trigger_value	trigger_onset	trigger_delay	response_time	press_onset_est	response	expected_response	wrd_img_match	correct
3	n/a	n/a	exp_start	0.0012881000293418765	0.0	trigger	n/a	n/a	255	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	instruction_part1	0.04644570004893467	4.1688541999901645	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	instruction_part2	4.230385100003332	1.9005309999920428	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	instruction_part3	6.162857200019062	6.199418500007596	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	instruction_part4	12.376205700042192	1.4029679999803193	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	instruction_start	50.6300149000017	5.968289200041909	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	instruction_start_2	56.628148399991915	n/a	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	1	1	image	61.617434500018135	0.760190566656334	image	dog	dog_41.jpg	5	61.61751250002999	7.800001185387373e-05	n/a	n/a	n/a	n/a	1	n/a
3	n/a	n/a	image	61.61751250002999	0.0	trigger	n/a	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	1	1	word	62.39393600000767	0.483492666684711	word	Hund_german	n/a	105	62.393961400026456	2.540001878514886e-05	n/a	n/a	n/a	n/a	1	n/a
3	n/a	n/a	word	62.393961400026456	0.0	trigger	n/a	n/a	105	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	1	1	possible_button_press	63.86379230004968	0.0	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	m	m	1	1
3	1	1	fix_cross_after_trial	63.877371400012635	1.0326789666471683	fixation cross	n/a	n/a	94	63.87739360000705	2.2199994418770075e-05	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	fix_cross_iti	63.87739360000705	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	1	2	image	64.95217720000073	0.7581174667032116	image	ball	ball_04.jpg	1	64.95225240004947	7.520004874095321e-05	n/a	n/a	n/a	n/a	1	n/a
3	n/a	n/a	image	64.95225240004947	0.0	trigger	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	1	2	word	65.71013050002512	0.782054166662661	word	Ball_german	n/a	101	65.71016900002724	3.850000211969018e-05	n/a	n/a	n/a	n/a	1	n/a
3	n/a	n/a	word	65.71016900002724	0.0	trigger	n/a	n/a	101	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	1	2	possible_button_press	67.21202530001756	0.0	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	m	m	1	1
3	1	2	fix_cross_after_trial	67.22615950001637	1.1995951666651905	fixation cross	n/a	n/a	94	67.22618620004505	2.670002868399024e-05	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	fix_cross_iti	67.22618620004505	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	1	3	image	68.4613683000207	0.7648099666732975	image	hand	hand_21.jpg	8	68.46144929999718	8.099997648969293e-05	n/a	n/a	n/a	n/a	1	n/a
3	n/a	n/a	image	68.46144929999718	0.0	trigger	n/a	n/a	8	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	1	3	word	69.24182500003371	0.4833701666250505	word	Hand_german	n/a	108	69.24185910000233	3.409996861591935e-05	n/a	n/a	n/a	n/a	1	n/a
3	n/a	n/a	word	69.24185910000233	0.0	trigger	n/a	n/a	108	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	1	3	possible_button_press	70.72733650001464	0.0	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	m	m	1	1
3	1	3	fix_cross_after_trial	70.74164850002853	1.0661851666557283	fixation cross	n/a	n/a	94	70.74167400004808	2.5500019546598196e-05	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	fix_cross_iti	70.74167400004808	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
