subject	block_num	trial_num	component_label	onset	duration	type_of_stimulus	concept_label	concept_examplar	trigger_value	trigger_onset	trigger_delay	response_time	response	expected_response	wrd_img_match	correct
0	n/a	n/a	instruction_part1	-28.995734700001776	46.99514649999037	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part2	-11.025391700008186	29.60801330000686	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part3	-10.428221599999233	29.66215530000045	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part4	-9.77728740000748	29.575774900004035	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	exp_start	0.0027817999944090843	0.0	trigger	n/a	n/a	255	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_start	27.69342329999199	36.02446690000943	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_start_2	34.708996599991224	n/a	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	1	image	36.49975540000014	0.7581966666659952	image	hammer	hammer_47.jpg	7	65.53950249998888	29.039747099988745	n/a	n/a	n/a	1	n/a
0	1	1	word	37.257952066666135	0.5165264999959618	word	Hammer_german	n/a	107	66.29977499999222	29.041822933326088	n/a	n/a	n/a	1	n/a
0	1	1	fix_cross_after_trial	38.76010619998851	0.9822017666777043	fixation cross	n/a	n/a	94	67.7998641999875	29.039757999998983	n/a	n/a	n/a	n/a	n/a
0	1	2	image	39.81318339999416	0.7646955666607624	image	hand	hand_50.jpg	8	68.85297639999771	29.039793000003556	n/a	n/a	n/a	1	n/a
0	1	2	word	40.57787896665492	0.49668080000265036	word	Hand_german	n/a	108	69.63013219999266	29.052253233337737	n/a	n/a	n/a	1	n/a
0	1	2	fix_cross_after_trial	42.090592799999285	0.7880254666563502	fixation cross	n/a	n/a	94	71.13032899999234	29.039736199993058	n/a	n/a	n/a	n/a	n/a
0	1	3	image	42.928183299998636	0.7611712666587351	image	hammer	hammer_37.jpg	7	71.96811829999206	29.03993499999342	n/a	n/a	n/a	1	n/a
0	1	3	word	43.68935456665737	0.5162971000099787	word	Hammer_german	n/a	107	72.7287428999989	29.039388333341535	n/a	n/a	n/a	1	n/a
0	1	3	fix_cross_after_trial	45.188716699994984	1.0697730666618241	fixation cross	n/a	n/a	94	74.22841659998812	29.03969989999314	n/a	n/a	n/a	n/a	n/a
0	1	4	image	46.329747800002224	0.7589913666636363	image	jacket	jacket_45.jpg	10	75.3695444999903	29.039796699988074	n/a	n/a	n/a	1	n/a
0	1	4	word	47.08873916666586	0.549118399998406	word	Jacke_german	n/a	110	76.14457910000056	29.055839933334696	n/a	n/a	n/a	1	n/a
0	1	4	fix_cross_after_trial	48.58914240000013	1.1820861666676734	fixation cross	n/a	n/a	94	77.62886839998828	29.03972599998815	n/a	n/a	n/a	n/a	n/a
0	1	5	image	49.830218699993566	0.7594477666755353	image	house	house_24.jpg	9	78.87002989999019	29.03981119999662	n/a	n/a	n/a	1	n/a
0	1	5	word	50.5896664666691	0.5468753999884939	word	Haus_german	n/a	109	79.64279449998867	29.053128033319567	n/a	n/a	n/a	1	n/a
0	1	5	fix_cross_after_trial	52.103212000001804	0.8168652666538634	fixation cross	n/a	n/a	94	81.14291039999807	29.03969839999627	n/a	n/a	n/a	n/a	n/a
0	1	6	image	52.95505949998915	0.7647744666794694	image	bread	bread_32.jpg	3	81.99481599999126	29.039756500002113	n/a	n/a	n/a	1	n/a
0	1	6	word	53.71983396666862	0.9160671999998158	word	Brot_german	n/a	103	82.7596896999894	29.039855733320778	n/a	n/a	n/a	1	n/a
0	1	6	fix_cross_after_trial	55.220154299997375	1.184929366663951	fixation cross	n/a	n/a	94	84.25986739998916	29.039713099991786	n/a	n/a	n/a	n/a	n/a
0	1	7	image	56.455174299990176	0.7642786666731496	image	jacket	jacket_19.jpg	10	85.49494799999229	29.039773700002115	n/a	n/a	n/a	1	n/a
0	1	7	word	57.219452966663326	0.5487683999963338	word	Jacke_german	n/a	110	86.25841429999855	29.038961333335223	n/a	n/a	n/a	1	n/a
0	1	7	fix_cross_after_trial	58.734500999999	1.2201408666626463	fixation cross	n/a	n/a	94	87.77418929999112	29.03968829999212	n/a	n/a	n/a	n/a	n/a
0	1	8	image	60.004663300001994	0.7633613666587422	image	bread	bread_28.jpg	3	89.04443789999641	29.039774599994416	n/a	n/a	n/a	1	n/a
0	1	8	word	60.768024666660736	n/a	word	Brot_german	n/a	103	89.80751400000008	29.039489333339347	n/a	n/a	n/a	1	n/a
0	1	8	fix_cross_after_trial	61.616687699992326	2.099576966666305	fixation cross	n/a	n/a	94	90.6563851999963	29.039697500003967	n/a	n/a	n/a	n/a	n/a
0	1	9	image	63.79488770000171	0.7565997666572599	image	jacket	jacket_48.jpg	10	92.83466319998843	29.039775499986717	n/a	n/a	n/a	0	n/a
0	1	9	word	64.56815413332563	0.5645475333401322	word	Stuhl_german	n/a	104	93.62319169999682	29.05503756667119	n/a	n/a	n/a	0	n/a
0	n/a	n/a	image	65.53950249998888	0.0	trigger	n/a	n/a	7	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	9	fix_cross_after_trial	66.26904879999347	1.196530966674132	fixation cross	n/a	n/a	94	95.30874979999498	29.039701000001514	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	word	66.29977499999222	0.0	trigger	n/a	n/a	107	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	10	image	67.51935649999359	0.763777166667083	image	dog	dog_10.jpg	5	96.55911599998944	29.039759499995853	n/a	n/a	n/a	1	n/a
0	1	1	possible_button_press	67.78416459998698	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
0	n/a	n/a	fix_cross_iti	67.7998641999875	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	10	word	68.28313366666067	0.49837879999540746	word	Hund_german	n/a	105	97.32159009999305	29.03845643333237	n/a	n/a	n/a	1	n/a
0	n/a	n/a	image	68.85297639999771	0.0	trigger	n/a	n/a	8	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	10	fix_cross_after_trial	69.3833666999999	2.13029296666015	fixation cross	n/a	n/a	94	98.42306859999371	29.039701899993815	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	word	69.63013219999266	0.0	trigger	n/a	n/a	108	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	2	possible_button_press	71.1178804999945	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
0	n/a	n/a	fix_cross_iti	71.13032899999234	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	11	image	71.57165509999322	0.7606404666623945	image	flower	flower_45.jpg	6	100.6114099999977	29.039754900004482	n/a	n/a	n/a	1	n/a
0	n/a	n/a	image	71.96811829999206	0.0	trigger	n/a	n/a	7	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	11	word	72.33229556665562	0.896870000011404	word	Blume_german	n/a	106	101.37035449998803	29.038058933332408	n/a	n/a	n/a	1	n/a
0	n/a	n/a	word	72.7287428999989	0.0	trigger	n/a	n/a	107	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	11	fix_cross_after_trial	73.84643629999482	1.1830948666650016	fixation cross	n/a	n/a	94	102.88612729999295	29.03969099999813	n/a	n/a	n/a	n/a	n/a
0	1	3	possible_button_press	74.21677109999291	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
0	n/a	n/a	fix_cross_iti	74.22841659998812	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	12	image	75.05114470000262	0.7619484666540899	image	house	house_39.jpg	9	104.0909365999978	29.03979189999518	n/a	n/a	n/a	1	n/a
0	n/a	n/a	image	75.3695444999903	0.0	trigger	n/a	n/a	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	12	word	75.81309316665671	0.5492492000048514	word	Haus_german	n/a	109	104.85202839999693	29.03893523334021	n/a	n/a	n/a	1	n/a
0	n/a	n/a	word	76.14457910000056	0.0	trigger	n/a	n/a	110	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	12	fix_cross_after_trial	77.32889499999874	0.766163166659922	fixation cross	n/a	n/a	94	106.36859939999704	29.0397043999983	n/a	n/a	n/a	n/a	n/a
0	1	4	possible_button_press	77.6178033999895	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
0	n/a	n/a	fix_cross_iti	77.62886839998828	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	13	image	78.15459629999532	0.7595149666633603	image	hammer	hammer_42.jpg	7	107.19434959998762	29.0397532999923	n/a	n/a	n/a	0	n/a
0	n/a	n/a	image	78.87002989999019	0.0	trigger	n/a	n/a	9	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	13	word	78.91411126665868	0.8966522999980953	word	Blume_german	n/a	106	107.95179909998842	29.03768783332974	n/a	n/a	n/a	0	n/a
0	n/a	n/a	word	79.64279449998867	0.0	trigger	n/a	n/a	109	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	13	fix_cross_after_trial	80.62753929999599	1.1499159666602878	fixation cross	n/a	n/a	94	109.66724179999437	29.039702499998384	n/a	n/a	n/a	n/a	n/a
