ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-06_15h16.26.239,,TSRlearn_localizer-concepts,2026-08-06 15h16.28.139901 +0200,,,,,,,,,59.6169254833667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2025.2.4,0.021854499995242804,0.022001999997883104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.14801859999715816,r,1.3041438000072958,0.5303788000019267,,,,,,,,,,,,,,,,,,,,,,,,2026-08-06_15h16.26.239,,TSRlearn_localizer-concepts,2026-08-06 15h16.28.139901 +0200,,,,,,,,,59.6169254833667,,,,,,,,,,,0.07932099999743514,,,,,,0.06529199999931734,1.9832314999948721,,,,,,,,,,,,,,,,,,,,,,,1,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.12169870000798255,r,1.93196529999841,2.4965037000074517,,,,,,,,,,,,,,,,,,,,2026-08-06_15h16.26.239,,TSRlearn_localizer-concepts,2026-08-06 15h16.28.139901 +0200,,,,,,,,,59.6169254833667,,,,,,,,,,,,1.9962462999974377,,,,,,,1.9897257999982685,2.6009936000045855,,,,,,,,,,,,,,,,,,,,,1,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.1330652999895392,r,0.06174299999838695,3.1130356000066968,,,,,,,,,,,,,,,,2026-08-06_15h16.26.239,,TSRlearn_localizer-concepts,2026-08-06 15h16.28.139901 +0200,,,,,,,,,59.6169254833667,,,,,,,,,,,,,2.6286548000061885,,,,,,,,2.618989099995815,3.3156693000055384,,,,,,,,,,,,,,,,,,,1,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5340520999889122,r,0.6058720000000903,3.830280700000003,,,,2026-08-06_15h16.26.239,,TSRlearn_localizer-concepts,2026-08-06 15h16.28.139901 +0200,,,,,,,,,59.6169254833667,,,,,,,,,,,,,,3.3449478999973508,,,,,,,,,3.326456299997517,4.266650699995807,,,,,,,,,,,,,,,,,1,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,6.617826500005322,7.364310899996781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_15h16.26.239,,TSRlearn_localizer-concepts,2026-08-06 15h16.28.139901 +0200,,,,,,6.628496599994833,7.4138341000070795,5.128638900001533,59.6169254833667,,,4.351625299997977,5.128638900001533,,,4.322791400001734,5.100926200000686,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,5.128638900001533,6.628496599994833,1,right,,1,,,2025.2.4,,,,,5.109244999999646,6.6176957999996375,,,5.11272796667278,5.6964871999953175,0,0,2026-08-06_15:16:32.471471,0,,,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,9.663599899999099,10.567613599996548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-06_15h16.26.239,,TSRlearn_localizer-concepts,2026-08-06 15h16.28.139901 +0200,,,,,,9.677618400004576,10.631122799997684,8.178264200003468,59.6169254833667,,,7.4138341000070795,8.178264200003468,,,7.404340699999011,8.151333500005421,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,8.178264200003468,9.677618400004576,1,left,,1,,,2025.2.4,,,,,8.16272459999891,9.663551100005861,,,8.164078866673906,8.91176550000091,1,0,2026-08-06_15:16:35.533680,1,,,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,13.084030500001973,13.949954299998353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_15h16.26.239,,TSRlearn_localizer-concepts,2026-08-06 15h16.28.139901 +0200,,,,,,13.09420439999667,14.013082000004943,11.394697399999131,59.6169254833667,,,10.631122799997684,11.394697399999131,,,10.609492799994769,11.380297199997585,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,11.394697399999131,12.893413199999486,0,left,,1,,,2025.2.4,,,,,11.384826699999394,13.083920599994599,,,11.394072366663993,11.962388200001442,2,0,2026-08-06_15:16:38.750969,2,,,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,16.28103569999803,17.29564090000349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_15h16.26.239,,TSRlearn_localizer-concepts,2026-08-06 15h16.28.139901 +0200,,,,,,16.291896599999745,17.362738399999216,14.793347200000426,59.6169254833667,,,14.013082000004943,14.793347200000426,,,13.98982810000598,14.765410899999551,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,14.793347200000426,16.291896599999745,1,right,,1,,,2025.2.4,,,,,14.772546299995156,16.280928799998946,,,14.778533666660467,15.276645699996152,3,0,2026-08-06_15:16:42.132928,3,,,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,19.8270865999948,20.877681400001165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-06_15h16.26.239,,TSRlearn_localizer-concepts,2026-08-06 15h16.28.139901 +0200,,,,,,19.84087489999365,20.929320900002494,18.126943800001754,59.6169254833667,,,17.362738399999216,18.126943800001754,,,17.343776199995773,18.110606000002008,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,18.126943800001754,19.64433189999545,0,right,,1,,,2025.2.4,,,,,18.11485790000006,19.827034999994794,,,18.12462996667115,18.759015999996336,4,0,2026-08-06_15:16:45.482584,4,,,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
,,0.99,23.192058700005873,24.192660600005183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_15h16.26.239,,TSRlearn_localizer-concepts,2026-08-06 15h16.28.139901 +0200,,,,,,23.20814529999916,24.241321499997866,21.70676650000678,59.6169254833667,,,20.929320900002494,21.70676650000678,,,20.91678939999838,21.67752919999475,banana.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,21.70676650000678,23.20814529999916,1,right,,1,,,2025.2.4,,,,,21.68599820000236,23.192012700004852,,,21.690479066663343,22.356555899998057,5,0,2026-08-06_15:16:49.049167,5,,,,,,,,,,None,5,5,0,5,banana,banane,Banane,
,,0.79,26.50984480000625,27.308250999994925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-06_15h16.26.239,,TSRlearn_localizer-concepts,2026-08-06 15h16.28.139901 +0200,,,,,,26.521862299996428,27.3601442000072,25.02181720000226,59.6169254833667,,,24.241321499997866,25.02181720000226,,,24.229902799997944,24.99366789999476,glasses.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,25.02181720000226,26.521862299996428,1,left,,1,,,2025.2.4,,,,,25.00190129999828,26.509782499997527,,,25.00655586667223,25.541095199994743,6,0,2026-08-06_15:16:52.361167,6,,,,,,,,,,None,6,6,0,6,glasses,lunettes,Brille,
,,0.77,29.624816499999724,30.406702699998277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_15h16.26.239,,TSRlearn_localizer-concepts,2026-08-06 15h16.28.139901 +0200,,,,,,29.63747329999751,30.45767899999919,28.12293490000593,59.6169254833667,,,27.3601442000072,28.12293490000593,,,27.342575699993176,28.107416099999682,basket.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,28.12293490000593,29.63747329999751,1,right,,1,,,2025.2.4,,,,,28.112443499994697,29.624767600005725,,,28.12161326666343,28.621500900000683,7,0,2026-08-06_15:16:55.479990,7,,,,,,,,,,None,7,7,0,7,basket,panier,Korb,
