ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
169.2380678000045,170.2204059999931,0.97,,,1,170.2205227999948,170.2205746999971,,dog,5,5,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,19,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,167.73470030000317,169.23508399999992,169.25121740000031,170.34348090000276,,,,None,166.971214899997,167.73470030000317,,,166.95561190000444,167.72122570000647,,,dog\dog_19.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,167.73470030000317,,,,,None,,3,,2025.2.4,,,167.72559400000318,169.23798449999595,,,167.73512836666876,168.21783320000395,,,34,0,2026-08-06_16:57:18.579758,34,35,None,,None,,34,34,0,34,,,,,,dog,Chien,Hund,
172.60234250000212,173.40290250000544,0.79,,,1,173.4029806000035,173.40302090000478,,ball,1,1,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,46,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,171.11693119999836,172.6191989999934,172.6191989999934,173.4885792999994,,,,None,170.34348090000276,171.11693119999836,,,170.29401509999298,171.0908158999955,,,ball\ball_46.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,171.11693119999836,,,,,None,,3,,2025.2.4,,,171.09477900000638,172.60227449999365,,,171.1038203666724,171.88416620000498,,,35,0,2026-08-06_16:57:21.952024,35,36,None,,None,,35,35,0,35,,,,,,ball,Ballon,Ball,
175.7520508000016,176.76800870000443,1,,,1,176.76807740000368,176.76811190000444,,hammer,7,7,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,15,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,174.25001380000322,175.76756720000412,175.76756720000412,176.80537149999873,,,,None,173.4885792999994,174.25001380000322,,,173.4732595999958,174.23747659999935,,,hammer\hammer_15.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,174.25001380000322,,,,,None,,3,,2025.2.4,,,174.24188319999666,175.75194390000252,,,174.25143726666673,174.7847221999982,,,36,0,2026-08-06_16:57:25.097122,36,37,None,,None,,36,36,0,36,,,,,,hammer,Marteau,Hammer,
179.06914730000426,180.28335399999924,1.21,,,1,180.28342479999992,180.28346109999984,,dog,5,5,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,17,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,177.58104509999976,179.0811432000046,179.0811432000046,180.34962170000654,,,,None,176.80537149999873,177.58104509999976,,,176.79169589999947,177.55492249999952,,,dog\dog_17.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,177.58104509999976,,,,,None,,3,,2025.2.4,,,177.5609175999998,179.06902589999663,,,177.56748066666867,178.04798299999675,,,37,0,2026-08-06_16:57:28.413914,37,38,None,,None,,37,37,0,37,,,,,,dog,Chien,Hund,
182.59944079999696,183.55221419999725,0.95,,,1,183.55234189999464,183.5524052999972,,hand,8,8,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,23,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,181.11324740000418,182.61393639999733,182.61393639999733,183.6365916000068,,,,None,180.34962170000654,181.11324740000418,,,180.33018780000566,181.08807509999315,,,hand\hand_23.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,181.11324740000418,,,,,None,,3,,2025.2.4,,,181.094145199997,182.59936520000338,,,181.10062806666636,181.5981352999952,,,38,0,2026-08-06_16:57:31.958165,38,39,None,,None,,38,38,0,38,,,,,,hand,Main,Hand,
185.89867239999876,186.9480526999978,1.05,,,1,186.9482057999994,186.9482687999989,,house,9,9,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,41,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,184.39635130000534,185.89556340000127,185.91255330000422,187.00139370000397,,,,None,183.6365916000068,184.39635130000534,,,183.6194117999985,184.3822405999963,,,house\house_41.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,184.39635130000534,,,,,None,,3,,2025.2.4,,,184.387770500005,185.8985970000067,,,184.3963518666608,184.9472750999994,,,39,0,2026-08-06_16:57:35.245135,39,40,None,,None,,39,39,0,39,,,,,,house,Maison,Haus,
189.26506210000662,190.21560680000402,0.94,,,1,190.21571429999312,190.2157608999987,,bicycle,2,2,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,22,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,187.76175930000318,189.2620617999928,189.2777830999985,190.32276589999674,,,,None,187.00139370000397,187.76175930000318,,,186.97275960000115,187.7491202999954,,,bicycle\bicycle_22.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,187.76175930000318,,,,,None,,3,,2025.2.4,,,187.75188779999735,189.26497629999358,,,187.76267916667373,188.47820509999292,,,40,0,2026-08-06_16:57:38.609937,40,41,None,,None,,40,40,0,40,,,,,,bicycle,Vélo,Fahrrad,
192.5809256999928,193.73155739999493,1.15,,,1,193.73165089999384,193.73169479999342,,dog,5,5,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,46,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,191.07903199999419,192.59433320000244,192.59433320000244,193.78289329999825,,,,None,190.32276589999674,191.07903199999419,,,190.28989580000052,191.0636286999943,,,dog\dog_46.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,191.07903199999419,,,,,None,,3,,2025.2.4,,,191.0674544999929,192.5808548000059,,,191.07745396666385,191.57856389999506,,,41,0,2026-08-06_16:57:41.931309,41,42,None,,None,,41,41,0,41,,,,,,dog,Chien,Hund,
196.0454991000006,197.07855910000217,1.02,,,1,197.07868989999406,197.07874149999407,,bicycle,2,2,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,3,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,194.54292649999843,196.04218140000012,196.06050839999807,197.12892780000402,,,,None,193.78289329999825,194.54292649999843,,,193.75959400000283,194.52943490000325,,,bicycle\bicycle_03.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,194.54292649999843,,,,,None,,3,,2025.2.4,,,194.53213700000197,196.04536639999424,,,194.54299776666838,195.2603242000041,,,42,0,2026-08-06_16:57:45.391436,42,43,None,,None,,42,42,0,42,,,,,,bicycle,Vélo,Fahrrad,
199.37927160000254,200.41252040000109,1.03,,,1,200.41276720000315,200.41284180000366,,chair,4,4,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,4,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,197.891933100007,199.39204079999763,199.39204079999763,200.5328823000018,,,,None,197.12892780000402,197.891933100007,,,197.11764050000056,197.8782887999987,,,chair\chair_04.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,197.891933100007,,,,,None,,3,,2025.2.4,,,197.88292340000044,199.37918259999424,,,197.89234886666625,198.4582914000057,,,43,0,2026-08-06_16:57:48.737471,43,44,None,,None,,43,43,0,43,,,,,,chair,Chaise,Stuhl,
203.01118119999592,204.00935160000517,0.99,,,1,204.00942380000197,204.00946000000113,,ball,1,7,,,,,,,,,,,,,,,,,,,,,,,,,None,r,2026-08-06_16h54.30.036,21,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,201.2909432000015,203.02413390000584,203.02413390000584,204.0602469000005,,,,None,200.5328823000018,201.2909432000015,,,200.4977724000055,201.27850529999705,,,ball\ball_21.jpg,,,,,,,,,,,,,,,,,,,1,1,,None,,201.2909432000015,,,,,right,,3,,2025.2.4,,,201.28447240000241,203.0111126999982,,,201.29205886666412,201.8240638999996,,,44,0,2026-08-06_16:57:52.141425,44,45,None,,None,,44,44,0,44,,,,,,hammer,Marteau,Hammer,
206.31022689999372,207.40979619999416,1.1,,,1,207.40986590000102,207.40990159999637,,chair,4,4,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,6,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,204.82307189999847,206.32255630000145,206.32255630000145,207.4579412000021,,,,None,204.0602469000005,204.82307189999847,,,204.03595980000682,204.80904120000196,,,chair\chair_06.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,204.82307189999847,,,,,None,,3,,2025.2.4,,,204.81364350000513,206.31008080000174,,,204.82302386666223,205.3900641999935,,,45,0,2026-08-06_16:57:55.668790,45,46,None,,None,,45,45,0,45,,,,,,chair,Chaise,Stuhl,
209.7241500999953,210.9067961999972,1.17,,,1,210.906868200007,210.90690349999932,,hand,8,8,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,40,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,208.24028889999317,,209.7382726999931,210.9572790999955,,,,None,207.4579412000021,208.24028889999317,,,207.4389519999968,208.21368410000287,,,hand\hand_40.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,208.24028889999317,,,,,None,,3,,2025.2.4,,,208.21932829999423,209.72407569999632,,,208.22559756666695,208.7217146000039,,,46,0,2026-08-06_16:57:59.066484,46,47,None,,None,,46,46,0,46,,,,,,hand,Main,Hand,
213.2085051000031,214.07286909999675,0.85,,,1,214.07294040000124,214.07297720000497,,jacket,10,10,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,2,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,211.7212165999954,213.22493110000505,213.22493110000505,214.1081150999962,,,,None,210.9572790999955,211.7212165999954,,,210.93856359999336,211.7072111000016,,,jacket\jacket_02.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,211.7212165999954,,,,,None,,3,,2025.2.4,,,211.71264709999377,213.20840180000232,,,211.72112856666016,212.2710122999997,,,47,0,2026-08-06_16:58:02.565822,47,48,None,,None,,47,47,0,47,,,,,,jacket,Veste,Jacke,
216.37435339999502,217.3719468000054,0.99,,,1,217.37201629999618,217.37205109999923,,dog,5,5,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-06_16h54.30.036,20,TSRlearn_localizer-concepts,2026-08-06 16h54.31.633549 +0200,,214.86977049999405,216.37066149999737,216.38654779999342,217.43800690000353,,,,None,214.1081150999962,214.86977049999405,,,214.09489680000115,214.8562621000019,,,dog\dog_20.jpg,,,,,,,,,,,,,,,,,,,0,1,,None,,214.86977049999405,,,,,None,,3,,2025.2.4,,,214.86033609999868,216.37424239999382,,,214.87039976666372,215.3543656999973,,,48,0,2026-08-06_16:58:05.716658,48,49,None,,None,,48,48,0,48,,,,,,dog,Chien,Hund,
219.7078102999949,220.8378664000047,1.13,,,1,220.83794660000422,,220.8516454000055,bread,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,None,,35,,,,218.20492800000648,219.7184622000059,219.7184622000059,220.8516454000055,,,,,217.43800690000353,218.20492800000648,,,217.41660480000428,218.18822369999543,,,bread\bread_35.jpg,,,,,,,,,,,,,,,,,,,0,1,,,,218.20492800000648,,,,,None,,,220.8516454000055,,,,218.19206600000325,219.70760470000096,,,218.20239606665953,219.13500989999739,,,49,0,2026-08-06_16:58:09.046550,49,50,,,None,,49,49,0,49,,,,,,bread,Pain,Brot,
