ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,0.99,23.745500999997603,24.777691699997376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,23.799150199996802,24.854216499999893,22.044833299998572,None,,,21.266144799999893,22.044833299998572,,,21.242554099997506,22.019433699999354,banana.jpg,,,,,,,,,,,,,,,,,,,,,,,None,22.044833299998572,23.54567159999715,1,right,,1,2025.2.4,,,,,22.027790499996627,23.74539939999886,22.03291786666547,22.69745839999814,5,0,2026-07-31_15:45:43.441941,5,,,,,,,,None,5,5,0,5,banana,banane,Banane,
,,0.79,27.331143399998837,28.131932699998288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,27.345099899997876,28.19772229999944,25.630477199996676,None,,,24.854216499999893,25.630477199996676,,,24.825222899999062,25.608075299998745,glasses.jpg,,,,,,,,,,,,,,,,,,,,,,,None,25.630477199996676,27.15593749999971,1,left,,1,2025.2.4,,,,,25.613837999997486,27.331091899999592,25.621508766664434,26.151775199999975,6,0,2026-07-31_15:45:47.030013,6,,,,,,,,None,6,6,0,6,glasses,lunettes,Brille,
,,0.77,30.666957399997045,31.450945099997625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,30.676962199999252,31.51285359999747,28.97996189999685,None,,,28.19772229999944,28.97996189999685,,,28.172510199998214,28.95017839999855,basket.jpg,,,,,,,,,,,,,,,,,,,,,,,None,28.97996189999685,30.493944299996656,1,right,,1,2025.2.4,,,,,28.955197899998893,30.666907199996785,28.963146166665197,29.465820099998382,7,0,2026-07-31_15:45:50.373518,7,,,,,,,,None,7,7,0,7,basket,panier,Korb,
,,1.23,33.99605849999716,35.228565499997785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,34.009807499998715,35.27846639999916,32.29211209999994,None,,,31.51285359999747,32.29211209999994,,,31.491312299996935,32.26405629999863,bear.jpg,,,,,,,,,,,,,,,,,,,,,,,None,32.29211209999994,33.79284939999707,0,right,,1,2025.2.4,,,,,32.26931719999993,33.995972799999436,32.277831966665204,32.84242549999908,8,0,2026-07-31_15:45:53.688650,8,,,,,,,,None,8,8,0,8,milk,lait,Milch,
,,1.1,37.760863299998164,38.86038819999885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,37.774643699998705,38.91038419999677,36.04348319999917,None,,,35.27846639999916,36.04348319999917,,,35.265419100000145,36.02804009999818,belt.jpg,,,,,,,,,,,,,,,,,,,,,,,None,36.04348319999917,37.55773079999926,1,left,,1,2025.2.4,,,,,36.030799199998,37.76080419999926,36.042012866666724,36.64149759999782,9,0,2026-07-31_15:45:57.454262,9,,,,,,,,None,9,9,0,9,belt,ceinture,Gürtel,
,,1.25,41.376881199998024,42.627162699998735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,41.39017969999986,42.771175299996685,39.68985299999986,None,,,38.91038419999677,39.68985299999986,,,38.8986178999985,39.664433299996745,bike.jpg,,,,,,,,,,,,,,,,,,,,,,,None,39.68985299999986,41.19494059999852,1,left,,1,2025.2.4,,,,,39.66713869999876,41.376813899998524,39.678372166665454,40.39080560000002,10,0,2026-07-31_15:46:01.086180,10,,,,,,,,None,10,10,0,10,bicycle,vélo,Fahrrad,
,,,,,,,,,,,,,,,,,,,,,,,0.0919462999991083,r,1.4201367999994545,43.139488199998596,,,,,,,,,,,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,,,,None,,,,,,,,,,,,,,42.771175299996685,,,,,,,,,,42.75945199999842,44.659669399999984,,,,,,,,,,,,,1,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157981699998345,r,0.6626157999999123,45.17252209999788,,,,,,,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,,,,None,,,,,,,,,,,,,,,44.68816319999678,,,,,,,,,,,44.67626789999849,46.009373299999424,,,,,,,,,,,1,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.82320489999984,49.972887199997786,1.14,,,1,49.98160319999806,49.981673799997225,hammer,7,7,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-07-31_15h45.20.972,16,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,47.122362899997825,48.83777579999878,48.83777579999878,50.070226699997875,,,,None,46.342508999998245,47.122362899997825,,,46.327841599999374,47.092373299998144,,,hammer\hammer_16.jpg,,,,,,,,,,,,,,,,,,,0,1,None,47.122362899997825,,,,,None,,1,2025.2.4,,,47.09850240000014,48.82314319999932,,,,,0,0,2026-07-31_15:46:08.518305,0,1,None,None,0,0,0,0,,,,,,hammer,Marteau,Hammer,
52.54043019999881,53.34022709999772,0.8,,,1,53.34029879999798,53.340334799999255,house,9,9,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-07-31_15h45.20.972,46,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,50.8382223999979,52.55260789999738,52.55260789999738,53.50550839999778,,,,None,50.070226699997875,50.8382223999979,,,50.041601799999626,50.80726749999667,,,house\house_46.jpg,,,,,,,,,,,,,,,,,,,0,1,None,50.8382223999979,,,,,None,,1,2025.2.4,,,50.81535449999865,52.54037489999973,,,,,1,0,2026-07-31_15:46:12.246023,1,2,None,None,1,1,0,1,,,,,,house,Maison,Haus,
