promptFile	correctFile	dist_01File	dist_02File	correct_pos	dist01_pos	dist02_pos	correct_ans	thisN	thisTrialN	thisRepN	key_resp_2.keys	key_resp_2.rt	key_resp_2.duration	trial_type	img_first	img_second	img_third	opt_left	opt_right	correct_side	correct_key	distance_correct	image_dur_retr	fix_dur_retr	ImageExamplePath	iti_dur_retr	reflection_win_dur	practice_learning.thisRepN	practice_learning.thisTrialN	practice_learning.thisN	practice_learning.thisIndex	retrieval_prc_loop.thisRepN	retrieval_prc_loop.thisTrialN	retrieval_prc_loop.thisN	retrieval_prc_loop.thisIndex	retry_loop.thisRepN	retry_loop.thisTrialN	retry_loop.thisN	retry_loop.thisIndex	resp_3.keys	resp_2.keys	thisRow.t	notes	startup_settings.started	startup_settings.stopped	instructions_01.started	instruction_part1.started	continue_button.started	instructions_01.stopped	continue_button.keys	continue_button.rt	continue_button.duration	instructions_02.started	instruction_part2.started	continue_button_3.started	instructions_02.stopped	continue_button_3.keys	continue_button_3.rt	continue_button_3.duration	instructions_03.started	instruction_part3.started	continue_button_4.started	instructions_03.stopped	continue_button_4.keys	continue_button_4.rt	continue_button_4.duration	instructions_04.started	instruction_part4.started	continue_button_5.started	instructions_04.stopped	continue_button_5.keys	continue_button_5.rt	continue_button_5.duration	instructions_05.started	instruction_part5.started	continue_button_6.started	instructions_05.stopped	continue_button_6.keys	continue_button_6.rt	continue_button_6.duration	instructions_06.started	instruction_part6.started	continue_button_7.started	instructions_06.stopped	continue_button_7.keys	continue_button_7.rt	continue_button_7.duration	instructions_replay_break.started	instructions_part16.started	continue_button_22.started	instructions_replay_break.stopped	continue_button_22.keys	continue_button_22.rt	continue_button_22.duration	practice_choice_display.started	polygon.started	prompt_prc.started	dist_01_prc.started	dist_02_prc.started	correct_prc.started	key_resp_2.started	instructions_choose_2.started	practice_choice_display.stopped	practice_learning.key_resp_2.keys	practice_learning.key_resp_2.rt	practice_learning.key_resp_2.duration	practice_feedback.started	polygon_7.started	prompt_prc_2.started	dist_01_prc_2.started	dist_02_prc_2.started	correct_prc_2.started	practice_feedback.stopped	rest_practice.started	fix_cross_2.started	rest_instruction.started	fix_cross_2.stopped	rest_instruction.stopped	rest_practice.stopped	instruction_retrieval_trials.started	instruction_part7.started	continue_button_8.started	instruction_retrieval_trials.stopped	continue_button_8.keys	continue_button_8.rt	continue_button_8.duration	instruction_retrievalques1.started	instruction_part10.started	continue_button_10.started	instruction_retrievalques1.stopped	continue_button_10.keys	continue_button_10.rt	continue_button_10.duration	instruction_retrievalques1_02.started	instruction_part13.started	continue_button_19.started	instruction_retrievalques1_02.stopped	continue_button_19.keys	continue_button_19.rt	continue_button_19.duration	instruction_retrievalques2.started	instruction_part11.started	continue_button_11.started	instruction_retrievalques2.stopped	continue_button_11.keys	continue_button_11.rt	continue_button_11.duration	instruction_retrievalques2_02.started	instruction_part14.started	continue_button_20.started	instruction_retrievalques2_02.stopped	continue_button_20.keys	continue_button_20.rt	continue_button_20.duration	instruction_refl_period.started	instruction_part12.started	continue_button_14.started	instruction_refl_period.stopped	continue_button_14.keys	continue_button_14.rt	continue_button_14.duration	instruction_refl_period_02.started	instruction_part15.started	continue_button_21.started	instruction_refl_period_02.stopped	continue_button_21.keys	continue_button_21.rt	continue_button_21.duration	retrieval_backg_info.started	instruction_info.started	continue_button_15.started	retrieval_backg_info.stopped	continue_button_15.keys	continue_button_15.rt	continue_button_15.duration	instruction_practice_type1.started	instruction_part8.started	continue_button_9.started	instruction_practice_type1.stopped	continue_button_9.keys	continue_button_9.rt	continue_button_9.duration	retrieval_type1_practice.started	fix_cross_retrbegin.started	fix_cross_retrbegin.stopped	retrieval_type1_practice.stopped	first_image_prc.started	image_1_prc.started	info_example_3.started	image_1_prc.stopped	info_example_3.stopped	first_image_prc.stopped	mask_retr1_prc.started	mask_img1.started	info_example_4.started	mask_img1.stopped	info_example_4.stopped	mask_retr1_prc.stopped	second_image_prc.started	image_2_prc.started	info_example_5.started	image_2_prc.stopped	info_example_5.stopped	second_image_prc.stopped	mask_retr2_prc.started	mask_img2.started	info_example_6.started	mask_img2.stopped	info_example_6.stopped	mask_retr2_prc.stopped	reflection_period.started	fix_cross_reflretr_2.started	text.started	fix_cross_reflretr_2.stopped	text.stopped	reflection_period.stopped	retr_response_order_prc.started	yes_txt_3.started	no_txt_3.started	polygon_9.started	resp_3.started	info_example_7.started	yes_txt_3.stopped	no_txt_3.stopped	polygon_9.stopped	resp_3.stopped	info_example_7.stopped	retr_response_order_prc.stopped	retry_loop.resp_3.keys	retr_response_distance_prc.started	resp_2.started	info_example.started	opt_2_prc.started	opt_3_prc.started	opt_4_prc.started	opt_5_prc.started	retr_response_distance_prc.stopped	retry_loop.resp_2.keys	retry_loop.resp_2.rt	retry_loop.resp_2.duration	retr_response_feedback.started	text_feedback.started	text_continue.started	continue_button_16.started	retr_response_feedback.stopped	retry_loop.continue_button_16.keys	retry_loop.continue_button_16.rt	retry_loop.continue_button_16.duration	retry_loop.resp_3.rt	retry_loop.resp_3.duration	info_example_2.started	text_feedback.stopped	info_example_2.stopped	text_continue.stopped	resp_2.stopped	info_example.stopped	opt_2_prc.stopped	opt_3_prc.stopped	opt_4_prc.stopped	opt_5_prc.stopped	participant_ID	date	expName	expVersion	psychopyVersion	frameRate	expStart	
stimuli/practice_images/bed.jpg	stimuli/practice_images/belt.jpg	stimuli/practice_images/anchor.jpg	stimuli/practice_images/desk.jpg	left	center	right	left	4	4	0	r	0.3637032000115141	None															0	4	4	4											34.09812939999392																																																					34.080289000004996	34.09812939999392	34.09812939999392	34.09812939999392	34.09812939999392	34.09812939999392	0.09847720002289861	34.09812939999392	34.56534799997462	r	0.3637032000115141	None	34.662683599977754	34.68125969998073	34.68125969998073	34.68125969998073	34.68125969998073	34.68125969998073	35.63160219998099																																																																																																																																																				3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
stimuli/practice_images/belt.jpg	stimuli/practice_images/bird.jpg	stimuli/practice_images/ant.jpg	stimuli/practice_images/crocodile.jpg	right	left	center	right	5	5	0	g	0.6791382000083104	None															0	5	5	5											35.76430470001651																																																					35.735187600017525	35.76430470001651	35.76430470001651	35.76430470001651	35.76430470001651	35.76430470001651	0.10364460002165288	35.76430470001651	36.53220219997456	g	0.6791382000083104	None	36.632733799982816	36.664329799998086	36.664329799998086	36.664329799998086	36.664329799998086	36.664329799998086	37.614285700023174																																																																																																																																																				3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																																																																		37.61702320002951	37.63043140002992	37.63043140002992	42.645383999974	42.645383999974	42.62915559997782																																																																																																																																														3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																																																																								42.63678210001672	42.645383999974	45.64476370002376	45.661500499991234	r	0.005097999994177371	None																																																																																																																																							3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																																																																															45.66799530002754	45.67782510002144	48.67692330002319	48.7271537000197	r	0.04466340004000813	None																																																																																																																																3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																																																																																						48.73417820001487	48.74346239998704	51.7427879999741	51.759683899988886	r	0.011365899990778416	None																																																																																																																									3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																																																																																													51.766830099979416	51.7760808999883	54.774935099994764	55.37523020000663	r	0.5857444000430405	None																																																																																																																		3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																																																																																																				55.381692000024486	55.391468000016175	58.39045679999981	58.557347199996	r	0.16186089999973774	None																																																																																																											3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																																																																																																											58.562415199994575	58.57367529999465	61.57297420001123	61.67323670000769	r	0.09240050002699718	None																																																																																																				3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																																																																																																																		61.68162500002654	61.68940879998263	64.68850940000266	64.85558029997628	r	0.1645041999872774	None																																																																																													3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																																																																																																																									64.86423579999246	64.87178250000579	65.35509470000397	65.4719696000102	r	0.11521730001550168	None																																																																																						3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																																																																																																																																65.47790729999542	65.48818089999259	65.97167100000661	66.48819080000976	r	0.5161264999769628	None																																																																															3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
								0	0	0				3	stimuli/practice_images/cow.jpg	stimuli/practice_images/basket.jpg	None	yes	no	left	left	2	2	0.5	stimuli/practice_images/practice_sequence_overview_t3_01.jpg	0.45	1.95					0	0	0	0	0	0	0	0			66.50457839999581																																																																																																																																													66.49998269998468	66.50457839999581	66.9877343000262	66.93809820001479	66.97114029998193	66.9877343000262	66.9877343000262	68.4873876000056	68.4873876000056	68.47120460000588	68.47440010000719	68.4873876000056	68.4873876000056	68.77065760002006	68.77065760002006	68.72106579999672	68.75288250000449	68.77065760002006	68.77065760002006	70.27010050002718	70.27010050002718	70.25475080002798	70.25786289997632	70.27010050002718	70.27010050002718	70.52103800000623	70.52103800000623	70.50438870000653	70.504417499993	70.52103800000623	70.52103800000623	74.48543479997898	74.48543479997898	74.46919430000708	74.47690820001299	74.48543479997898	74.48543479997898	74.48543479997898	0.007742499990854412	74.48543479997898	254.4953889999888	254.4953889999888	254.4953889999888	180.0095175000024	254.4953889999888	254.47901439998532	None	254.48353349999525	0.0045220000320114195	254.4953889999888	254.4953889999888	254.4953889999888	254.4953889999888	254.4953889999888	426.22846429998754	2	171.6272899999749	None	426.2394493999891	426.2495447000256	426.2495447000256	426.72815480001736	428.6451642999891	r	1.9127003999892622	None													3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
								0	0	0				3	stimuli/practice_images/cow.jpg	stimuli/practice_images/belt.jpg	None	no	yes	right	right	4	2	0.5	stimuli/practice_images/practice_sequence_overview_t3_02.jpg	0.52	1.89					0	1	1	1	0	0	0	0			644.2101070000208																																																																																																																																													644.1995276000234	644.2101070000208	644.7809521000017	644.7262192000053	644.7718685999862	644.7809521000017	644.7809521000017	646.2920971999993	646.2920971999993	646.27635130001	646.2799888000009	646.2920971999993	646.2920971999993	646.5791970000137	646.5791970000137	646.5256249000086	646.5671742000268	646.5791970000137	646.5791970000137	648.0917289999779	648.0917289999779	648.0759362999815	648.0795041000238	648.0917289999779	648.0917289999779	648.3423660999979	648.3423660999979	648.3256725000101	648.3257268000161	648.3423660999979	648.3423660999979	652.2409975000191	652.2409975000191	652.2238543999847	652.2270480000298	652.2409975000191	652.2409975000191	652.2409975000191	0.0032115999492816627	652.2409975000191	832.2505759000196	832.2505759000196	832.2505759000196	180.00970369996503	832.2505759000196	832.2338328000042	None	832.238448499993	0.004622899985406548	832.2505759000196	832.2505759000196	832.2505759000196	832.2505759000196	832.2505759000196	1012.2439326000167	None	24.53013790003024	0.19131550000747666	1012.247859199997	1012.2605858999887	1012.2605858999887	1012.7477540000109	644.1934682999854	None			24.53013790003024	None	1012.2605858999887	644.1929592000088	644.1929592000088	644.1929592000088	180.009730699996	1012.2605858999887	1012.2605858999887	1012.2605858999887	1012.2605858999887	1012.2605858999887								
