ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,0.99,26.746653599999263,27.748314099997515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,26.76079359999858,27.79689689999941,25.261210499997105,59.85712105158719,,,24.481166399997164,25.261210499997105,,,24.45874019999974,25.232336299999588,banana.jpg,,,,,,,,,,,,,,,,,,,,,,,None,25.261210499997105,26.76079359999858,1,right,,0,2025.2.4,,,,,25.24172969999927,26.74660899999799,,,25.245811766664943,25.91125629999806,5,0,2026-08-05_16:46:20.494748,5,,,,,,,,None,5,5,0,5,banana,banane,Banane,
,,0.79,30.048919499997282,30.845519499998773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,30.06034609999915,30.89542159999837,28.561062599997967,59.85712105158719,,,27.79689689999941,28.561062599997967,,,27.77383369999734,28.54696349999722,glasses.jpg,,,,,,,,,,,,,,,,,,,,,,,None,28.561062599997967,30.06034609999915,1,left,,0,2025.2.4,,,,,28.551994399997056,30.048842099997273,,,28.56104986666493,29.07745249999789,6,0,2026-08-05_16:46:23.810479,6,,,,,,,,None,6,6,0,6,glasses,lunettes,Brille,
,,0.77,33.160939899997175,33.94407969999884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,33.17579459999979,33.99441939999815,31.6594202999986,59.85712105158719,,,30.89542159999837,31.6594202999986,,,30.873410799998965,31.645150899999862,basket.jpg,,,,,,,,,,,,,,,,,,,,,,,None,31.6594202999986,33.158783399998356,1,right,,0,2025.2.4,,,,,31.648268499997357,33.16089529999954,,,31.659694866666783,32.15912699999899,7,0,2026-08-05_16:46:26.909003,7,,,,,,,,None,7,7,0,7,basket,panier,Korb,
,,1.23,36.477177999997366,37.709903699997085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,36.49125129999811,37.76140859999941,34.7588313999986,59.85712105158719,,,33.99441939999815,34.7588313999986,,,33.97541669999919,34.74478719999752,bear.jpg,,,,,,,,,,,,,,,,,,,,,,,None,34.7588313999986,36.25809089999893,0,right,,0,2025.2.4,,,,,34.748763899999176,36.477111199998035,,,34.75887076666574,35.325076199998875,8,0,2026-08-05_16:46:30.008001,8,,,,,,,,None,8,8,0,8,milk,lait,Milch,
,,1.1,40.011918099997274,41.12596009999834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,40.024766599999566,41.17645160000029,38.52436559999842,59.85712105158719,,,37.76140859999941,38.52436559999842,,,37.73937819999992,38.51070289999916,belt.jpg,,,,,,,,,,,,,,,,,,,,,,,None,38.52436559999842,40.024766599999566,1,left,,0,2025.2.4,,,,,38.51279269999941,40.01184849999845,,,38.524424266667,39.10863489999974,9,0,2026-08-05_16:46:33.774990,9,,,,,,,,None,9,9,0,9,belt,ceinture,Gürtel,
,,1.25,43.443106499998976,44.69452029999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,43.45768929999758,44.873234599999705,41.94018089999736,59.85712105158719,,,41.17645160000029,41.94018089999736,,,41.162892599997576,41.92810610000015,bike.jpg,,,,,,,,,,,,,,,,,,,,,,,None,41.94018089999736,43.43969519999882,1,left,,0,2025.2.4,,,,,41.93111929999941,43.44301419999829,,,41.94189596666571,42.65705549999984,10,0,2026-08-05_16:46:37.190033,10,,,,,,,,None,10,10,0,10,bicycle,vélo,Fahrrad,
,,,,,,,,,,,,,,,,,,,,,,,0.11194089999844437,r,13.719542200000433,45.205578199998854,,,,,,,,,,,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,,,,59.85712105158719,,,,,,,,,,,,,,44.873234599999705,,,,,,,,,,44.852194099999906,59.03988349999781,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13667390000045998,r,0.060938099999475526,59.55134220000036,,,,,,,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,,,,59.85712105158719,,,,,,,,,,,,,,,59.0674818999978,,,,,,,,,,,59.052273099998274,59.756344599998556,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.35558049999963,63.33802110000033,0.97,,,1,63.34675639999841,63.34690349999801,hammer,7,7,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-05_16h45.54.927,47,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,60.900148400000035,62.36712110000008,63.45344209999894,,,,59.85712105158719,60.11074919999737,60.900148400000035,,,60.08046789999935,60.85394719999749,,,hammer\hammer_47.jpg,,,,,,,,,,,,,,,,,,,0,1,None,60.900148400000035,,,,,None,,0,2025.2.4,,,60.88813680000021,62.355504199997085,,,60.90136299999794,61.41695780000009,,,0,0,2026-08-05_16:46:56.124331,0,1,None,None,0,0,0,0,,,,,,hammer,Marteau,Hammer,
,,0.77,,,1,,,hand,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,None,,50,,,,64.23225280000042,,,,,,,63.45344209999894,64.23225280000042,,,63.41277479999917,64.2034711999986,,,hand\hand_50.jpg,,,,,,,,,,,,,,,,,,,0,1,,64.23225280000042,,,,,None,,,,,,64.22244349999892,,,,64.2338179333315,64.73484950000056,,,1,0,2026-08-05_16:46:59.467024,1,2,,,1,1,0,1,,,,,,hand,Main,Hand,
