subject	block_num	trial_num	component_label	onset	duration	type_of_stimulus	concept_label	concept_examplar	trigger_value	trigger_onset	trigger_delay	response_time	press_onset_est	response	expected_response	wrd_img_match	correct
4	n/a	n/a	exp_start	0.0011254999553784728	0.0	trigger	n/a	n/a	255	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	n/a	n/a	instruction_part1	0.046692100004293025	14.150072099990211	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	n/a	n/a	instruction_part2	14.225406999932602	0.6198604000965133	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	n/a	n/a	instruction_part3	14.875161099946126	1.2528549000853673	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	n/a	n/a	instruction_part4	16.142038699937984	0.5039584999904037	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	n/a	n/a	instruction_start	53.66297880001366	15.765478299930692	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	n/a	n/a	instruction_start_2	69.45781219995115	n/a	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	1	image	70.36187939997762	0.7633550667126343	image	car	car_01.png	5	70.36196759995073	8.819997310638428e-05	n/a	n/a	n/a	n/a	1	n/a
4	n/a	n/a	image	70.36196759995073	0.0	trigger	n/a	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	1	word	71.12531479995232	0.9486009666618571	word	Auto_german	n/a	105	71.12536569999065	5.0900038331747055e-05	n/a	n/a	n/a	n/a	1	n/a
4	n/a	n/a	word	71.12536569999065	0.0	trigger	n/a	n/a	105	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	1	possible_button_press	72.62677680002525	0.0	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	m	m	1	1
4	1	1	fix_cross_after_trial	72.64092869998422	1.1998241666626797	fixation cross	n/a	n/a	94	72.64097840001341	4.970002919435501e-05	n/a	n/a	n/a	n/a	n/a	n/a
4	n/a	n/a	fix_cross_iti	72.64097840001341	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	2	image	73.89423309999984	0.7629937666390703	image	bag	bag_03.png	1	73.89434380002785	0.00011070002801716328	n/a	n/a	n/a	n/a	0	n/a
4	n/a	n/a	image	73.89434380002785	0.0	trigger	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	2	word	74.67308849992696	0.9334433667284117	word	Kleid_german	n/a	103	74.67313170002308	4.320009611546993e-05	n/a	n/a	n/a	n/a	0	n/a
4	n/a	n/a	word	74.67313170002308	0.0	trigger	n/a	n/a	103	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	2	feedback	76.1732490999857	0.0	trigger	n/a	n/a	96	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	2	possible_button_press	76.37544179998804	0.0	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	m	r	0	0
4	1	2	fix_cross_after_trial	76.38978720002342	1.1164916665914149	fixation cross	n/a	n/a	94	76.38981820002664	3.100000321865082e-05	n/a	n/a	n/a	n/a	n/a	n/a
4	n/a	n/a	fix_cross_iti	76.38981820002664	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	3	image	77.54428949998692	0.7609100666052342	image	ball	ball_01.png	6	77.54436239995994	7.289997301995754e-05	n/a	n/a	n/a	n/a	1	n/a
4	n/a	n/a	image	77.54436239995994	0.0	trigger	n/a	n/a	6	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	3	word	78.32171259995084	0.7669865666578204	word	Ball_german	n/a	106	78.32174389995635	3.130000550299883e-05	n/a	n/a	n/a	n/a	1	n/a
4	n/a	n/a	word	78.32174389995635	0.0	trigger	n/a	n/a	106	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	3	possible_button_press	79.79181099997368	0.0	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	m	m	1	1
4	1	3	fix_cross_after_trial	79.80539110000245	0.8992210666804255	fixation cross	n/a	n/a	94	79.80543309997302	4.199997056275606e-05	n/a	n/a	n/a	n/a	n/a	n/a
4	n/a	n/a	fix_cross_iti	79.80543309997302	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	4	image	80.74135989998467	0.7632018667102471	image	car	car_09.png	5	80.74145199998748	9.210000280290842e-05	n/a	n/a	n/a	n/a	1	n/a
4	n/a	n/a	image	80.74145199998748	0.0	trigger	n/a	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	4	word	81.50486969994381	0.9494763666919113	word	Auto_german	n/a	105	81.50489899993408	2.929999027401209e-05	n/a	n/a	n/a	n/a	1	n/a
4	n/a	n/a	word	81.50489899993408	0.0	trigger	n/a	n/a	105	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	4	possible_button_press	83.00681189994793	0.0	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	m	m	1	1
4	1	4	fix_cross_after_trial	83.0209813999245	0.8834303666992724	fixation cross	n/a	n/a	94	83.02101599995513	3.460003063082695e-05	n/a	n/a	n/a	n/a	n/a	n/a
4	n/a	n/a	fix_cross_iti	83.02101599995513	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	5	image	83.92134290002286	0.7493387666220457	image	tree	tree_01.png	9	83.9214304999914	8.759996853768826e-05	n/a	n/a	n/a	n/a	1	n/a
4	n/a	n/a	image	83.9214304999914	0.0	trigger	n/a	n/a	9	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	5	word	84.68660449993331	0.8168889666597039	word	Baum_german	n/a	109	84.68664209998678	3.760005347430706e-05	n/a	n/a	n/a	n/a	1	n/a
4	n/a	n/a	word	84.68664209998678	0.0	trigger	n/a	n/a	109	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	5	possible_button_press	86.15667009993922	0.0	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	m	m	1	1
4	1	5	fix_cross_after_trial	86.16982690000441	1.183774166686149	fixation cross	n/a	n/a	94	86.16985539998859	2.8499984182417393e-05	n/a	n/a	n/a	n/a	n/a	n/a
4	n/a	n/a	fix_cross_iti	86.16985539998859	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	6	image	87.3897680999944	0.7626683666060359	image	saw	saw_01.png	10	87.38986230001319	9.42000187933445e-05	n/a	n/a	n/a	n/a	1	n/a
4	n/a	n/a	image	87.38986230001319	0.0	trigger	n/a	n/a	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	6	word	88.1688047000207	0.9496252666615561	word	Säge_german	n/a	110	88.16883219999727	2.7499976567924023e-05	n/a	n/a	n/a	n/a	1	n/a
