ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-05_17h02.21.453,,TSRlearn_localizer-concepts,2026-08-05 17h02.22.847868 +0200,,,,,,,,,60.57313084948872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025.2.4,0.03137280000009923,0.03148439999858965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.11909949999972014,r,2.215392999998585,0.5452079999995476,,,,,,,,,,,,,,,,,,,,,,,2026-08-05_17h02.21.453,,TSRlearn_localizer-concepts,2026-08-05 17h02.22.847868 +0200,,,,,,,,,60.57313084948872,,,,,,,,,,0.0763991999992868,,,,,,0.0577186000009533,2.897597700000915,,,,,,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0877001000008022,r,0.07718459999887273,3.4109185000015714,,,,,,,,,,,,,,,,,,,2026-08-05_17h02.21.453,,TSRlearn_localizer-concepts,2026-08-05 17h02.22.847868 +0200,,,,,,,,,60.57313084948872,,,,,,,,,,,2.926844400000846,,,,,,,2.90340610000203,3.579095299999608,,,,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.12837469999794848,r,1.25902810000116,4.092618099999527,,,,,,,,,,,,,,,2026-08-05_17h02.21.453,,TSRlearn_localizer-concepts,2026-08-05 17h02.22.847868 +0200,,,,,,,,,60.57313084948872,,,,,,,,,,,,3.6098401000017475,,,,,,,,3.5955805000012333,5.494819200001075,,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13520820000121603,r,0.27996880000137025,6.0086421000014525,,,2026-08-05_17h02.21.453,,TSRlearn_localizer-concepts,2026-08-05 17h02.22.847868 +0200,,,,,,,,,60.57313084948872,,,,,,,,,,,,,5.524689500001841,,,,,,,,,5.5022258999997575,6.428583900000376,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,8.76031409999996,9.510587299999315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_17h02.21.453,,TSRlearn_localizer-concepts,2026-08-05 17h02.22.847868 +0200,,,,,,8.774261900001875,9.559614000001602,7.258107099998597,60.57313084948872,,,6.496622400001797,7.258107099998597,,,6.46834250000029,7.243948899998941,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,None,7.258107099998597,8.757903599998826,1,right,,0,2025.2.4,,,,,7.250168300000951,8.7602704000019,,,7.258301866666685,7.825999299999239,0,0,2026-08-05_17:02:29.315465,0,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,11.826404300001741,12.725744800001848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-05_17h02.21.453,,TSRlearn_localizer-concepts,2026-08-05 17h02.22.847868 +0200,,,,,,11.842121000001498,12.775690599999507,10.356793099999777,60.57313084948872,,,9.559614000001602,10.356793099999777,,,9.547693299999082,10.31089780000184,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,None,10.356793099999777,,1,left,,0,2025.2.4,,,,,10.337487000000692,11.826357999998436,,,10.341704233335381,11.074039499999344,1,0,2026-08-05_17:02:32.378456,1,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,15.258424700001342,16.107406800001627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_17h02.21.453,,TSRlearn_localizer-concepts,2026-08-05 17h02.22.847868 +0200,,,,,,15.272055000001274,16.158893499999976,13.541858600001433,60.57313084948872,,,12.775690599999507,13.541858600001433,,,12.759561800001393,13.525916400001734,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,None,13.541858600001433,15.055969900000491,0,left,,0,2025.2.4,,,,,13.530104199999187,15.258380499999475,,,13.540229466667613,14.106032799998502,2,0,2026-08-05_17:02:35.594533,2,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,18.423955099999148,19.440878400000656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_17h02.21.453,,TSRlearn_localizer-concepts,2026-08-05 17h02.22.847868 +0200,,,,,,18.438040900000487,19.5085794000006,16.956945099998848,60.57313084948872,,,16.158893499999976,16.956945099998848,,,16.133113500000036,16.90850169999976,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,None,16.956945099998848,,1,right,,0,2025.2.4,,,,,16.938233400000172,18.423878099998547,,,16.938721333332552,17.43932969999878,3,0,2026-08-05_17:02:38.977736,3,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,21.97342850000132,23.021795399999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-05_17h02.21.453,,TSRlearn_localizer-concepts,2026-08-05 17h02.22.847868 +0200,,,,,,21.98730010000145,23.07340649999969,20.270641800001613,60.57313084948872,,,19.5085794000006,20.270641800001613,,,19.492647399998532,20.25729390000197,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,None,20.270641800001613,21.770294800000556,0,right,,0,2025.2.4,,,,,20.2612881999994,21.973378499998944,,,20.271165166665256,20.92051100000026,4,0,2026-08-05_17:02:42.327422,4,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
