ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-03_16h34.17.058,,TSRlearn_localizer-concepts,2026-08-03 16h34.18.129851 +0200,,,,,,,,,59.967173977311845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025.2.4,0.015353599970694631,0.015467599965631962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.09534130000974983,r,0.7601036000414751,0.5257278999779373,,,,,,,,,,,,,,,,,,,,,,,2026-08-03_16h34.17.058,,TSRlearn_localizer-concepts,2026-08-03 16h34.18.129851 +0200,,,,,,,,,59.967173977311845,,,,,,,,,,0.07451700000092387,,,,,,0.05519129999447614,1.39583270001458,,,,,,,,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.09369869995862246,r,0.19888240000000224,1.920492400007788,,,,,,,,,,,,,,,,,,,2026-08-03_16h34.17.058,,TSRlearn_localizer-concepts,2026-08-03 16h34.18.129851 +0200,,,,,,,,,59.967173977311845,,,,,,,,,,,1.4246120000025257,,,,,,,1.4066926999948919,2.2293160000117496,,,,,,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0958348999847658,r,0.13287830003537238,2.742116099980194,,,,,,,,,,,,,,,2026-08-03_16h34.17.058,,TSRlearn_localizer-concepts,2026-08-03 16h34.18.129851 +0200,,,,,,,,,59.967173977311845,,,,,,,,,,,,2.274175699974876,,,,,,,,2.2526457000058144,2.9791460999986157,,,,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08730519999517128,r,0.663751800020691,3.4918016999727115,,,2026-08-03_16h34.17.058,,TSRlearn_localizer-concepts,2026-08-03 16h34.18.129851 +0200,,,,,,,,,59.967173977311845,,,,,,,,,,,,,3.007777899969369,,,,,,,,,2.99761269998271,3.495630599965807,,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,6.128325199999381,6.87909679999575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-03_16h34.17.058,,TSRlearn_localizer-concepts,2026-08-03 16h34.18.129851 +0200,,,,,,6.140913799987175,6.943533800018486,4.440809299994726,59.967173977311845,,,3.665897300001234,4.440809299994726,,,3.6472631000215188,4.412598199967761,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,4.440809299994726,5.940933200006839,1,right,,0,2025.2.4,,,,,4.426252099976409,6.1282461999799125,,,4.44150953333204,5.007670999970287,0,0,2026-08-03_16:34:21.781892,0,,,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,9.412700699991547,10.310571199981496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-03_16h34.17.058,,TSRlearn_localizer-concepts,2026-08-03 16h34.18.129851 +0200,,,,,,9.425321599992458,10.375188299978618,7.722865700023249,59.967173977311845,,,6.943533800018486,7.722865700023249,,,6.924105099984445,7.69597270002123,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,7.722865700023249,9.223075599991716,1,left,,0,2025.2.4,,,,,7.710795399965718,9.412615399982315,,,7.7240724333173905,8.4565926999785,1,0,2026-08-03_16:34:25.059529,1,,,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,12.842825900006574,13.693391799984965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-03_16h34.17.058,,TSRlearn_localizer-concepts,2026-08-03 16h34.18.129851 +0200,,,,,,12.855750299990177,13.758225500001572,11.155277199984994,59.967173977311845,,,10.375188299978618,11.155277199984994,,,10.353791999979876,11.126306599995587,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,11.155277199984994,12.655552999989595,0,left,,0,2025.2.4,,,,,11.13701210002182,12.842763699998613,,,11.139326366658013,11.705766499973834,2,0,2026-08-03_16:34:28.491183,2,,,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,16.242098200018518,17.258973699994385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-03_16h34.17.058,,TSRlearn_localizer-concepts,2026-08-03 16h34.18.129851 +0200,,,,,,16.25493609998375,17.32298890000675,14.538142699981108,59.967173977311845,,,13.758225500001572,14.538142699981108,,,13.741155099996831,14.50926530000288,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,14.538142699981108,16.037850499968044,1,right,,0,2025.2.4,,,,,14.522943700023461,16.24199359997874,,,14.538111033333312,15.021635700017214,3,0,2026-08-03_16:34:31.874220,3,,,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,19.806670200021472,20.857416599988937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-03_16h34.17.058,,TSRlearn_localizer-concepts,2026-08-03 16h34.18.129851 +0200,,,,,,19.820078799966723,20.922401799994987,18.10303539998131,59.967173977311845,,,17.32298890000675,18.10303539998131,,,17.312264700012747,18.07512469997164,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,18.10303539998131,19.60336200002348,0,right,,0,2025.2.4,,,,,18.086330400023144,19.80658570001833,,,18.087250466637002,18.737100199970882,4,0,2026-08-03_16:34:35.438984,4,,,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
