ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,0.99,23.038110999998025,24.037817699998413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,23.052258100000472,24.07096359999923,21.5361496000005,61.00164704491684,,,20.77224809999825,21.5361496000005,,,20.754085500000656,21.522076199998992,banana.jpg,,,,,,,,,,,,,,,,,,,,,,,None,21.5361496000005,23.035747300000367,1,right,,0,2025.2.4,,,,,21.528445199997805,23.038067599998612,,,21.536541766665565,22.202600299999176,5,0,2026-08-05_16:58:31.270579,5,,,,,,,,None,5,5,0,5,banana,banane,Banane,
,,0.79,26.337185699998372,27.13637209999797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,26.351331400001072,27.186880299999757,24.836003799999162,61.00164704491684,,,24.07096359999923,24.836003799999162,,,24.060793399999966,24.82187619999968,glasses.jpg,,,,,,,,,,,,,,,,,,,,,,,None,24.836003799999162,26.351331400001072,1,left,,0,2025.2.4,,,,,24.827018600000883,26.337142199998198,,,24.835709166666007,25.351955400001316,6,0,2026-08-05_16:58:34.569295,6,,,,,,,,None,6,6,0,6,glasses,lunettes,Brille,
,,0.77,29.45288530000107,30.23588430000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,29.467075000000477,30.285751999999775,27.950775799999974,61.00164704491684,,,27.186880299999757,27.950775799999974,,,27.1641982000001,27.9363302999991,basket.jpg,,,,,,,,,,,,,,,,,,,,,,,None,27.950775799999974,29.450375799999165,1,right,,0,2025.2.4,,,,,27.939663599998312,29.452836299999035,,,27.95094696666662,28.43422659999851,7,0,2026-08-05_16:58:37.685211,7,,,,,,,,None,7,7,0,7,basket,panier,Korb,
,,1.23,32.767927599998075,34.00125670000125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,32.7826055000005,34.03450449999946,31.05005760000131,61.00164704491684,,,30.285751999999775,31.05005760000131,,,30.266659799999616,31.036870500000077,bear.jpg,,,,,,,,,,,,,,,,,,,,,,,None,31.05005760000131,32.54950800000006,0,right,,0,2025.2.4,,,,,31.041065999997954,32.767878599999676,,,31.05067756666564,31.616355099999055,8,0,2026-08-05_16:58:40.784083,8,,,,,,,,None,8,8,0,8,milk,lait,Milch,
,,1.1,36.30083319999903,37.3999702000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,36.3147112000006,37.45006600000124,34.79861330000131,61.00164704491684,,,34.03450449999946,34.79861330000131,,,34.024857799999154,34.7838731999982,belt.jpg,,,,,,,,,,,,,,,,,,,,,,,None,34.79861330000131,36.29845909999858,1,left,,0,2025.2.4,,,,,34.78572730000087,36.300788399999874,,,34.79858836666632,35.38171339999826,9,0,2026-08-05_16:58:44.532835,9,,,,,,,,None,9,9,0,9,belt,ceinture,Gürtel,
,,1.25,39.71669439999823,40.96617139999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,39.730770699999994,41.11226969999916,38.21471759999986,61.00164704491684,,,37.45006600000124,38.21471759999986,,,37.42652889999954,38.201121099999,bike.jpg,,,,,,,,,,,,,,,,,,,,,,,None,38.21471759999986,39.714042799998424,1,left,,0,2025.2.4,,,,,38.20342549999987,39.71664249999958,,,38.21500926666728,38.91396090000126,10,0,2026-08-05_16:58:47.948397,10,,,,,,,,None,10,10,0,10,bicycle,vélo,Fahrrad,
,,,,,,,,,,,,,,,,,,,,,,,0.08881290000135778,r,2.0484187999973074,41.47987769999963,,,,,,,,,,,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,,,,61.00164704491684,,,,,,,,,,,,,,41.11226969999916,,,,,,,,,,41.09881740000128,43.631613800000196,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07815820000178064,r,0.08710539999810862,44.14670800000022,,,,,,,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,,,,61.00164704491684,,,,,,,,,,,,,,,43.66212359999918,,,,,,,,,,,43.6420681999989,44.31867599999896,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.817508899999666,47.79744759999812,0.97,,,1,47.805376199998136,47.80543939999916,hammer,7,7,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-05_16h58.09.096,47,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,45.36156520000077,,46.82923899999878,47.88217150000128,,,,61.00164704491684,44.57385499999873,45.36156520000077,,,44.54561339999782,45.3168794000012,,,hammer\hammer_47.jpg,,,,,,,,,,,,,,,,,,,0,1,None,45.36156520000077,,,,,None,,0,2025.2.4,,,45.34326839999994,46.81740809999974,,,45.347448633333016,45.8792969999995,,,0,0,2026-08-05_16:58:55.072186,0,1,None,None,0,0,0,0,,,,,,hammer,Marteau,Hammer,
50.14814969999861,50.93176250000033,0.77,,,1,50.93185649999941,50.93190219999815,hand,8,8,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-05_16h58.09.096,50,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,48.644746800000576,50.14514169999893,50.16070749999926,50.982295499998145,,,,61.00164704491684,47.88217150000128,48.644746800000576,,,47.857170600000245,48.63056979999965,,,hand\hand_50.jpg,,,,,,,,,,,,,,,,,,,0,1,None,48.644746800000576,,,,,None,,0,2025.2.4,,,48.634285699998145,50.1480636999986,,,48.644636666668035,49.12857929999882,,,1,0,2026-08-05_16:58:58.380502,1,2,None,None,1,1,0,1,,,,,,hand,Main,Hand,
