subject	block_num	trial_num	component_label	onset	duration	type_of_stimulus	concept_label	concept_examplar	response_time	response	expected_response	wrd_img_match	correct
0	n/a	n/a	instruction_part1	0.046641500000987435	5.493589099998644	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part2	5.5617730999983905	0.15045129999998608	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part3	5.7355323000010685	0.15975669999897946	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part4	5.9165350000002945	0.1550954999984242	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_start	44.36150719999932	54.52261559999897	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_start_2	98.9011118999988	n/a	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	1	image	99.26179299999785	0.7561272666682868	image	chair	chair_35.jpg	n/a	n/a	n/a	1	n/a
0	1	1	word	100.01792026666614	0.9510187999985646	word	chair_en	n/a	n/a	n/a	n/a	1	n/a
0	1	1	possible_button_press	101.71015070000067	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	1	fix_cross_after_trial	101.7269383999992	0.8771512666683208	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	2	image	102.63276179999957	0.7617561666668422	image	hand	hand_29.jpg	n/a	n/a	n/a	1	n/a
0	1	2	word	103.39451796666641	0.8502741000011156	word	hand_en	n/a	n/a	n/a	n/a	1	n/a
0	1	2	possible_button_press	105.11483130000124	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	2	fix_cross_after_trial	105.12650719999874	1.0048785666661075	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	3	image	106.1514184000007	0.7562510666650866	image	bicycle	bicycle_04.jpg	n/a	n/a	n/a	0	n/a
0	1	3	word	106.90766946666578	0.9506585000017367	word	ball_en	n/a	n/a	n/a	n/a	0	n/a
0	1	3	possible_button_press	108.6087308999995	0.0	response	n/a	n/a	[]	m	r	0	0
0	1	3	fix_cross_after_trial	108.62504229999831	0.8846313666692964	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	4	image	109.55417630000011	0.7558593666656321	image	house	house_42.jpg	n/a	n/a	n/a	1	n/a
0	1	4	word	110.31003566666574	0.9762087000017345	word	house_en	n/a	n/a	n/a	n/a	1	n/a
0	1	4	possible_button_press	112.00167339999825	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	4	fix_cross_after_trial	112.01866289999816	0.8763016666673735	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	5	image	112.94064849999995	0.7603022666664998	image	jacket	jacket_29.jpg	n/a	n/a	n/a	1	n/a
0	1	5	word	113.70095076666645	0.978922700000112	word	jacket_en	n/a	n/a	n/a	n/a	1	n/a
0	1	5	possible_button_press	115.40471179999804	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	5	fix_cross_after_trial	115.41942909999852	1.2200886666689854	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	6	image	116.66419350000069	0.7582162666660821	image	dog	dog_40.jpg	n/a	n/a	n/a	1	n/a
0	1	6	word	117.42240976666677	0.9110857999985456	word	dog_en	n/a	n/a	n/a	n/a	1	n/a
0	1	6	possible_button_press	119.14191779999965	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	6	fix_cross_after_trial	119.15838789999907	0.9153699666678818	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	7	image	120.1532933999988	0.758676166668252	image	jacket	jacket_50.jpg	n/a	n/a	n/a	1	n/a
0	1	7	word	120.91196956666705	0.9623444999997446	word	jacket_en	n/a	n/a	n/a	n/a	1	n/a
0	1	7	possible_button_press	122.62815240000054	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	7	fix_cross_after_trial	122.64235499999995	1.1018868666653958	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	8	image	123.78334209999957	0.7625381666660047	image	flower	flower_07.jpg	n/a	n/a	n/a	1	n/a
0	1	8	word	124.54588026666558	0.9646649999995134	word	flower_en	n/a	n/a	n/a	n/a	1	n/a
0	1	8	possible_button_press	126.25692759999947	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	8	fix_cross_after_trial	126.27316509999946	0.9010537666656688	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	9	image	127.18211840000004	0.7598601666652627	image	dog	dog_37.jpg	n/a	n/a	n/a	1	n/a
0	1	9	word	127.9419785666653	0.9202289000022716	word	dog_en	n/a	n/a	n/a	n/a	1	n/a
0	1	9	possible_button_press	129.64557530000093	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	9	fix_cross_after_trial	129.6645724000009	0.9515949666640893	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	10	image	130.64031429999886	0.7600045666661401	image	bicycle	bicycle_31.jpg	n/a	n/a	n/a	1	n/a
0	1	10	word	131.400318866665	1.0223877000025823	word	bicycle_en	n/a	n/a	n/a	n/a	1	n/a
0	1	10	possible_button_press	133.0874593999979	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	10	fix_cross_after_trial	133.0963523999999	1.2013614666650767	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	11	image	134.31639350000114	0.7651640666665855	image	jacket	jacket_16.jpg	n/a	n/a	n/a	1	n/a
0	1	11	word	135.08155756666773	0.9678107999970962	word	jacket_en	n/a	n/a	n/a	n/a	1	n/a
0	1	11	possible_button_press	136.79893710000033	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	11	fix_cross_after_trial	136.81591219999973	1.2251508666670645	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	12	image	138.08618600000045	0.749190766666544	image	bread	bread_13.jpg	n/a	n/a	n/a	1	n/a
0	1	12	word	138.835376766667	0.9036253999984183	word	bread_en	n/a	n/a	n/a	n/a	1	n/a
0	1	12	possible_button_press	140.52810490000047	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	12	fix_cross_after_trial	140.54313619999812	1.2347565666680396	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	13	image	141.88805879999927	0.7499795666665534	image	ball	ball_12.jpg	n/a	n/a	n/a	1	n/a
0	1	13	word	142.63803836666582	0.9353289999999106	word	ball_en	n/a	n/a	n/a	n/a	1	n/a
0	1	13	possible_button_press	144.33866080000007	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	13	fix_cross_after_trial	144.35622330000115	0.9169182666667268	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	14	image	145.29334999999992	0.7521430666677418	image	dog	dog_03.jpg	n/a	n/a	n/a	1	n/a
0	1	14	word	146.04549306666766	0.9255037999973865	word	dog_en	n/a	n/a	n/a	n/a	1	n/a
0	1	14	possible_button_press	147.74877539999943	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	14	fix_cross_after_trial	147.76580130000002	0.9357252666671059	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	15	image	148.75065360000008	0.7616162666675166	image	bread	bread_19.jpg	n/a	n/a	n/a	1	n/a
0	1	15	word	149.5122698666676	0.8959990999974252	word	bread_en	n/a	n/a	n/a	n/a	1	n/a
0	1	15	possible_button_press	151.23226169999907	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	15	fix_cross_after_trial	151.25218329999916	1.1432394666665289	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	16	image	152.40335839999898	0.7601597666655664	image	chair	chair_21.jpg	n/a	n/a	n/a	0	n/a
0	1	16	word	153.16351816666455	0.9170414000000164	word	dog_en	n/a	n/a	n/a	n/a	0	n/a
0	1	16	possible_button_press	154.8516869999985	0.0	response	n/a	n/a	[]	m	r	0	0
0	1	16	fix_cross_after_trial	154.87205370000083	1.0199302666663073	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	17	image	155.9340032	0.7558912666648041	image	bread	bread_14.jpg	n/a	n/a	n/a	1	n/a
0	1	17	word	156.6898944666648	0.9059032000004663	word	bread_en	n/a	n/a	n/a	n/a	1	n/a
0	1	17	possible_button_press	158.3931608999992	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	17	fix_cross_after_trial	158.40540880000117	0.8203903666656345	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	18	image	159.2459912000013	0.7569667666651014	image	chair	chair_25.jpg	n/a	n/a	n/a	1	n/a
0	1	18	word	160.0029579666664	0.9391402000001108	word	chair_en	n/a	n/a	n/a	n/a	1	n/a
0	1	18	possible_button_press	161.68799729999955	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	18	fix_cross_after_trial	161.7043663000004	1.1998324666640485	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	19	image	162.9420930999986	0.7658309666660728	image	hammer	hammer_44.jpg	n/a	n/a	n/a	1	n/a
0	1	19	word	163.70792406666467	0.9557034999997995	word	hammer_en	n/a	n/a	n/a	n/a	1	n/a
0	1	19	possible_button_press	165.39561859999958	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	19	fix_cross_after_trial	165.41427589999876	1.1116109666657223	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	20	image	166.55108159999872	0.7673311666660823	image	house	house_11.jpg	n/a	n/a	n/a	1	n/a
0	1	20	word	167.3184127666648	0.9730426000023726	word	house_en	n/a	n/a	n/a	n/a	1	n/a
0	1	20	possible_button_press	169.0119670999993	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	20	fix_cross_after_trial	169.028465899999	0.7815918666676964	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	21	image	169.81862009999895	0.7596409666660122	image	hand	hand_34.jpg	n/a	n/a	n/a	1	n/a
0	1	21	word	170.57826106666496	0.8404793000008794	word	hand_en	n/a	n/a	n/a	n/a	1	n/a
0	1	21	possible_button_press	172.26294100000086	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	21	fix_cross_after_trial	172.27864879999834	0.9075918666679001	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	22	image	173.20511790000091	0.7490205666656777	image	bicycle	bicycle_46.jpg	n/a	n/a	n/a	1	n/a
0	1	22	word	173.9541384666666	1.020404700000654	word	bicycle_en	n/a	n/a	n/a	n/a	1	n/a
0	1	22	possible_button_press	175.6555722000012	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	22	fix_cross_after_trial	175.66819010000108	0.82381466666655	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	23	image	176.51224000000002	0.7566671666648119	image	hammer	hammer_35.jpg	n/a	n/a	n/a	1	n/a
0	1	23	word	177.26890716666483	0.9490614000023925	word	hammer_en	n/a	n/a	n/a	n/a	1	n/a
0	1	23	possible_button_press	178.9687845999979	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	23	fix_cross_after_trial	178.98542269999962	1.0172142666672528	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	24	image	180.03305499999988	0.75337986666662	image	flower	flower_38.jpg	n/a	n/a	n/a	1	n/a
0	1	24	word	180.7864348666665	0.9783810000008089	word	flower_en	n/a	n/a	n/a	n/a	1	n/a
0	1	24	possible_button_press	182.49600250000003	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	24	fix_cross_after_trial	182.5116725000007	1.017949266665056	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	25	image	183.58764800000063	0.7584507666654474	image	hand	hand_46.jpg	n/a	n/a	n/a	1	n/a
0	1	25	word	184.34609876666607	0.8448739999985264	word	hand_en	n/a	n/a	n/a	n/a	1	n/a
0	1	25	possible_button_press	186.04879040000014	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	25	fix_cross_after_trial	186.06516320000082	0.9439351666663072	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	26	image	187.04294980000122	0.74924606666562	image	dog	dog_28.jpg	n/a	n/a	n/a	1	n/a
0	1	26	word	187.79219586666684	0.9178437999980815	word	dog_en	n/a	n/a	n/a	n/a	1	n/a
0	1	26	possible_button_press	189.4937635999995	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	26	fix_cross_after_trial	189.51104489999852	1.0899443666678792	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	27	image	190.6224512000008	0.7640071666649249	image	bicycle	bicycle_29.jpg	n/a	n/a	n/a	1	n/a
0	1	27	word	191.38645836666572	1.019899599999917	word	bicycle_en	n/a	n/a	n/a	n/a	1	n/a
0	1	27	possible_button_press	193.08120059999783	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	27	fix_cross_after_trial	193.09808079999857	1.2574258666684557	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	28	image	194.40511559999868	0.7633009666681403	image	ball	ball_48.jpg	n/a	n/a	n/a	0	n/a
0	1	28	word	195.16841656666682	0.9733405000006314	word	jacket_en	n/a	n/a	n/a	n/a	0	n/a
0	1	28	possible_button_press	196.86800510000103	0.0	response	n/a	n/a	[]	m	r	0	0
0	1	28	fix_cross_after_trial	196.88538929999777	1.1318455666699094	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	29	image	198.03988129999925	0.7621516666661421	image	flower	flower_05.jpg	n/a	n/a	n/a	1	n/a
0	1	29	word	198.8020329666654	0.9765366999999969	word	flower_en	n/a	n/a	n/a	n/a	1	n/a
0	1	29	possible_button_press	200.4905508999982	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	29	fix_cross_after_trial	200.50512159999926	0.8047205666664752	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	30	image	201.3574891999997	0.7567260666658342	image	bread	bread_48.jpg	n/a	n/a	n/a	1	n/a
0	1	30	word	202.11421526666552	0.9066186000018206	word	bread_en	n/a	n/a	n/a	n/a	1	n/a
0	1	30	possible_button_press	203.81420050000088	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	30	fix_cross_after_trial	203.82810750000135	0.8677318666634903	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
