subject	block_num	trial_num	component_label	onset	duration	type_of_stimulus	concept_label	concept_examplar	trigger_value	trigger_onset	trigger_delay	response_time	response	expected_response	wrd_img_match	correct
1	1	35	word	143.8596234666659	0.4987369000009494	word	Hand_german	n/a	108	160.6929240999889	16.833300633322978	n/a	n/a	n/a	1	n/a
1	1	30	possible_button_press	145.0170933999907	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	145.03096479999658	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	35	fix_cross_after_trial	145.3753124000068	0.9838787666560904	fixation cross	n/a	n/a	94	162.20865559999947	16.83334319999267	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	146.19528709999577	0.0	trigger	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	36	image	146.3948323000077	0.7635086666598738	image	flower	flower_14.jpg	6	163.22824919999402	16.833416899986332	n/a	n/a	n/a	1	n/a
1	n/a	n/a	word	146.94715339998947	0.0	trigger	n/a	n/a	101	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	36	word	147.15834096666757	0.8992021000012755	word	Blume_german	n/a	106	163.99162389998673	16.83328293331917	n/a	n/a	n/a	1	n/a
1	1	31	possible_button_press	148.4498495000007	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	148.46338379998633	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	36	fix_cross_after_trial	148.67456480000692	1.0828687666546841	fixation cross	n/a	n/a	94	165.50791869999375	16.833353899986832	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	149.7522983999952	0.0	trigger	n/a	n/a	7	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	37	image	149.7770562000078	0.7635213666547145	image	bicycle	bicycle_10.jpg	2	166.61045159999048	16.83339539998269	n/a	n/a	n/a	1	n/a
1	n/a	n/a	word	150.51694229998975	0.0	trigger	n/a	n/a	107	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	37	word	150.5405775666625	0.6997866000019712	word	Fahrrad_german	n/a	102	167.37387129999115	16.833293733328645	n/a	n/a	n/a	1	n/a
1	1	32	possible_button_press	152.01458809999167	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	152.02869179999107	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	37	fix_cross_after_trial	152.05658030000632	0.7998203666541315	fixation cross	n/a	n/a	94	168.889923499999	16.83334319999267	n/a	n/a	n/a	n/a	n/a
1	1	38	image	152.91302190000715	0.7601105666583692	image	hand	hand_43.jpg	8	169.74642289998883	16.833400999981677	n/a	n/a	n/a	0	n/a
1	n/a	n/a	image	153.2492937999923	0.0	trigger	n/a	n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	38	word	153.67313246666552	0.931983600006788	word	Brot_german	n/a	103	170.50630679998721	16.833174333321693	n/a	n/a	n/a	0	n/a
1	n/a	n/a	word	154.01141789999383	0.0	trigger	n/a	n/a	102	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	38	fix_cross_after_trial	155.3889404000074	0.9671477666600197	fixation cross	n/a	n/a	94	172.2222929999989	16.833352599991485	n/a	n/a	n/a	n/a	n/a
1	1	33	possible_button_press	155.51331239999854	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	155.52744799999346	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	39	image	156.39432249999663	0.7609976666756495	image	hammer	hammer_02.jpg	7	173.22776619999786	16.833443700001226	n/a	n/a	n/a	1	n/a
1	n/a	n/a	image	156.54653339998913	0.0	trigger	n/a	n/a	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	39	word	157.15532016667228	0.5164566000021296	word	Hammer_german	n/a	107	173.9884347999905	16.833114633318218	n/a	n/a	n/a	1	n/a
1	n/a	n/a	word	157.31040269999357	0.0	trigger	n/a	n/a	104	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	39	fix_cross_after_trial	158.13802090000536	1.8498140666672782	fixation cross	n/a	n/a	94	174.9713708999916	16.83334999998624	n/a	n/a	n/a	n/a	n/a
1	1	34	possible_button_press	158.81273489999876	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	158.82634849999158	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	159.93009119998896	0.0	trigger	n/a	n/a	8	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	40	image	160.02383970000665	0.7635899666677517	image	dog	dog_02.jpg	5	176.85727199999383	16.83343229998718	n/a	n/a	n/a	1	n/a
1	n/a	n/a	word	160.6929240999889	0.0	trigger	n/a	n/a	108	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	40	word	160.7874296666744	0.4993172999966191	word	Hund_german	n/a	105	177.62118269999337	16.83375303331897	n/a	n/a	n/a	1	n/a
1	1	40	fix_cross_after_trial	162.18694770000002	2.0494086666624582	fixation cross	n/a	n/a	94	179.02030649999506	16.83335879999504	n/a	n/a	n/a	n/a	n/a
1	1	35	possible_button_press	162.19474989999435	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	162.20865559999947	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	163.22824919999402	0.0	trigger	n/a	n/a	6	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	word	163.99162389998673	0.0	trigger	n/a	n/a	106	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	41	image	164.27216409999528	0.7642871666651274	image	bicycle	bicycle_23.jpg	2	181.1055755999987	16.83341150000342	n/a	n/a	n/a	1	n/a
1	1	41	word	165.0364512666604	0.7152311000099871	word	Fahrrad_german	n/a	102	181.86951769998996	16.83306643332955	n/a	n/a	n/a	1	n/a
1	1	36	possible_button_press	165.4936056999868	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	165.50791869999375	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	41	fix_cross_after_trial	166.01916029999848	1.7993260666737854	fixation cross	n/a	n/a	94	182.85251729999436	16.833356999995885	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	166.61045159999048	0.0	trigger	n/a	n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	word	167.37387129999115	0.0	trigger	n/a	n/a	102	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	42	image	167.85406880000664	0.7645861666572102	image	jacket	jacket_09.jpg	10	184.6874725999951	16.833403799988446	n/a	n/a	n/a	1	n/a
1	1	42	word	168.61865496666385	0.548913899998297	word	Jacke_german	n/a	110	185.45185409999976	16.83319913333591	n/a	n/a	n/a	1	n/a
1	1	37	possible_button_press	168.87567489998764	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	168.889923499999	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	169.74642289998883	0.0	trigger	n/a	n/a	8	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	42	fix_cross_after_trial	170.13431769999443	1.0331941666702562	fixation cross	n/a	n/a	94	186.96767079998972	16.833353099995293	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	word	170.50630679998721	0.0	trigger	n/a	n/a	103	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	43	image	171.20349010000064	0.7637402666626087	image	dog	dog_22.jpg	5	188.03690049999568	16.833410399995046	n/a	n/a	n/a	1	n/a
1	1	43	word	171.96723036666324	0.4994779999979073	word	Hund_german	n/a	105	188.80052489999798	16.833294533334737	n/a	n/a	n/a	1	n/a
1	1	38	feedback	172.02232539998658	0.0	trigger	n/a	n/a	96	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	38	possible_button_press	172.20798949999153	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	r	0	0
1	n/a	n/a	fix_cross_iti	172.2222929999989	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	173.22776619999786	0.0	trigger	n/a	n/a	7	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	43	fix_cross_after_trial	173.48341990000335	1.0331032666620388	fixation cross	n/a	n/a	94	190.3167751000001	16.83335519999673	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	word	173.9884347999905	0.0	trigger	n/a	n/a	107	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	44	image	174.5522837000026	0.7644693666700562	image	hand	hand_12.jpg	8	191.38569549999374	16.833411799991154	n/a	n/a	n/a	1	n/a
1	1	39	response	174.74069769999187	0.0	trigger	n/a	n/a	128	n/a	n/a	0.6435998000088148	r	n/a	n/a	n/a
1	1	39	feedback	174.77088559999538	0.0	trigger	n/a	n/a	96	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	39	possible_button_press	174.95728839999356	0.0	response	n/a	n/a	n/a	n/a	n/a	0.6435998000088148	r	m	1	0
1	n/a	n/a	fix_cross_iti	174.9713708999916	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	44	word	175.31675306667265	0.49868079999578185	word	Hand_german	n/a	108	192.149969399994	16.83321633332136	n/a	n/a	n/a	1	n/a
1	1	44	fix_cross_after_trial	176.83238550000533	1.132974866665137	fixation cross	n/a	n/a	94	193.66574039999978	16.833354899994447	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	176.85727199999383	0.0	trigger	n/a	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	word	177.62118269999337	0.0	trigger	n/a	n/a	105	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	45	image	178.0011469000019	0.7645267666705706	image	ball	ball_31.jpg	1	194.83455869999307	16.833411799991154	n/a	n/a	n/a	1	n/a
1	1	45	word	178.76567366667248	0.7818414999928791	word	Ball_german	n/a	101	195.59849309999845	16.832819433325966	n/a	n/a	n/a	1	n/a
1	1	40	response	178.80518189999566	0.0	trigger	n/a	n/a	128	n/a	n/a	0.5135188999993261	r	n/a	n/a	n/a
1	1	40	feedback	178.83637399999134	0.0	trigger	n/a	n/a	96	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	40	possible_button_press	179.00609269998677	0.0	response	n/a	n/a	n/a	n/a	n/a	0.5135188999993261	r	m	1	0
1	n/a	n/a	fix_cross_iti	179.02030649999506	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	45	fix_cross_after_trial	180.28146880000713	1.249359566664026	fixation cross	n/a	n/a	94	197.1148228999955	16.833354099988355	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	181.1055755999987	0.0	trigger	n/a	n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	46	image	181.5664844999992	0.7646512666727006	image	jacket	jacket_41.jpg	10	198.3998900000006	16.83340550000139	n/a	n/a	n/a	0	n/a
1	n/a	n/a	word	181.86951769998996	0.0	trigger	n/a	n/a	102	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	46	word	182.3311357666719	0.699306800001068	word	Fahrrad_german	n/a	102	199.16419619999942	16.833060433327518	n/a	n/a	n/a	0	n/a
1	1	41	response	182.63812629999302	0.0	trigger	n/a	n/a	128	n/a	n/a	0.9777097999904072	r	n/a	n/a	n/a
1	1	41	feedback	182.66826979999314	0.0	trigger	n/a	n/a	96	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	41	possible_button_press	182.8382067999919	0.0	response	n/a	n/a	n/a	n/a	n/a	0.9777097999904072	r	m	1	0
1	n/a	n/a	fix_cross_iti	182.85251729999436	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	46	fix_cross_after_trial	184.06342489999952	1.0497251666713794	fixation cross	n/a	n/a	94	200.89678569999523	16.833360799995717	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	184.6874725999951	0.0	trigger	n/a	n/a	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	47	image	185.14861170000222	0.7643374666697866	image	bread	bread_40.jpg	3	201.9820189999882	16.833407299985993	n/a	n/a	n/a	1	n/a
1	n/a	n/a	word	185.45185409999976	0.0	trigger	n/a	n/a	110	n/a	n/a	n/a	n/a	n/a	n/a	n/a
