ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,,,,59.934539495083506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,0.01459199999953853,0.014661299999715993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.1117811999974947,r,5.369194200000493,0.046641500000987435,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,,,,59.934539495083506,,,,,,,,,,,0.046641500000987435,,,,,,0.03084830000079819,5.540213199998107,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.09592049999992014,r,0.04595770000014454,5.5617730999983905,,,,,,,,,,,,,,,,,,,,,,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,,,,59.934539495083506,,,,,,,,,,,,5.5617730999983905,,,,,,,5.545904999999038,5.712207799999305,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.08784619999642018,r,0.0562236000005214,5.7355323000010685,,,,,,,,,,,,,,,,,,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,,,,59.934539495083506,,,,,,,,,,,,,5.7355323000010685,,,,,,,,5.720155499999237,5.895273199999792,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06396089999907417,r,0.07523280000168597,5.9165350000002945,,,,,,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,,,,59.934539495083506,,,,,,,,,,,,,,5.9165350000002945,,,,,,,,,5.9011437999979535,6.071614399999817,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,8.606965999999375,9.364449500000774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,8.623797899999772,9.408045699998183,6.8945858999977645,59.934539495083506,,,6.1312713000006624,6.8945858999977645,,,6.103012100000342,6.877243399998406,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,,None,6.8945858999977645,8.406280700000934,1,right,,0,,,2025.2.4,,,,,6.8806946000004245,8.606915399999707,,,6.893743566666914,7.857952700000169,0,0,2026-07-12_21:56:13.151905,0,,,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,11.86048640000081,12.76764170000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,11.883700999998837,12.815180900000996,10.165731699999014,59.934539495083506,,,9.408045699998183,10.165731699999014,,,9.390078699998412,10.147180399999343,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,,None,10.165731699999014,11.666487399998005,1,left,,0,,,2025.2.4,,,,,10.150145600000542,11.860439299998689,,,10.16360356666725,10.959681799999089,1,0,2026-07-12_21:56:16.428680,1,,,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,15.279600400001073,16.131914300000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,15.29602629999863,16.174171700000443,13.572678000000451,59.934539495083506,,,12.815180900000996,13.572678000000451,,,12.797287999997934,13.554046000001108,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,,None,13.572678000000451,15.08235109999805,0,left,,0,,,2025.2.4,,,,,13.55713249999826,15.279532799999288,,,13.570504166666312,14.570471399998496,2,0,2026-07-12_21:56:19.835815,2,,,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,18.615526800000225,19.632952799998748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,18.632070799998473,19.666870799999742,16.931321000000025,59.934539495083506,,,16.174171700000443,16.931321000000025,,,16.15634549999959,16.91428679999808,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,,None,16.931321000000025,18.432102399998257,1,right,,0,,,2025.2.4,,,,,16.917272999999113,18.615464200000133,,,16.930769166665655,17.89822819999972,3,0,2026-07-12_21:56:23.194806,3,,,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,22.10235459999967,23.15263369999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,22.118340299999545,23.188315200000943,20.416845799998555,59.934539495083506,,,19.666870799999742,20.416845799998555,,,19.657556199999817,20.400352500000736,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,,None,20.416845799998555,21.918017699998018,0,right,,0,,,2025.2.4,,,,,20.403303099999903,22.102283899999748,,,20.41686156666789,21.385234299999865,4,0,2026-07-12_21:56:26.687505,4,,,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
