ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_buffer,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,show_word,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,source_sequence,source_sequence_position,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trial_type,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,0.99,22.597942499999988,23.594571700000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,22.608201399999984,23.658412,21.106065400000034,59.38778322033375,,,20.342348200000004,21.106065400000034,,,20.328468499999985,21.07804520000002,banana.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,21.106065400000034,22.608201399999984,1,right,,5,,,2025.2.4,,,,,,21.08445820000003,22.597888600000033,,,,,21.091974166666674,21.760760600000026,5,0,2026-08-25_09:43:16.428959,5,,,,,,,,,,,None,5,5,0,5,banana,banane,Banane,
,,0.79,25.92486489999999,26.725074300000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,25.940888200000018,26.773787000000027,24.423778400000003,59.38778322033375,,,23.658412,24.423778400000003,,,23.63581190000002,24.410744099999988,glasses.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,24.423778400000003,25.922929899999986,1,left,,5,,,2025.2.4,,,,,,24.41418920000001,25.924817200000007,,,,,24.42504996666669,25.290016500000036,6,0,2026-08-25_09:43:19.745023,6,,,,,,,,,,,None,6,6,0,6,glasses,lunettes,Brille,
,,0.77,29.0123921,29.793692300000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,29.027453900000012,29.856153000000006,27.537130100000013,59.38778322033375,,,26.773787000000027,27.537130100000013,,,26.7596317,27.508147500000007,basket.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,27.537130100000013,,1,right,,5,,,2025.2.4,,,,,,27.517271300000004,29.012295999999992,,,,,27.522822266666665,28.02933710000002,7,0,2026-08-25_09:43:22.860398,7,,,,,,,,,,,None,7,7,0,7,basket,panier,Korb,
,,1.23,32.30926670000002,33.542617500000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,32.322331899999995,33.58865480000003,30.60655059999999,59.38778322033375,,,29.856153000000006,30.60655059999999,,,29.833954600000027,30.593078400000024,bear.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,30.60655059999999,32.12187180000001,0,right,,5,,,2025.2.4,,,,,,30.597420100000022,32.30920950000001,,,,,30.60740216666666,31.173557200000005,8,0,2026-08-25_09:43:25.942764,8,,,,,,,,,,,None,8,8,0,8,milk,lait,Milch,
,,1.1,35.82424259999999,36.941074300000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,35.8393547,36.98749550000002,34.33918620000003,59.38778322033375,,,33.58865480000003,34.33918620000003,,,33.57292990000002,34.323629100000005,belt.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,34.33918620000003,35.8393547,1,left,,5,,,2025.2.4,,,,,,34.326979300000005,35.824195799999984,,,,,34.3382658666667,34.93970940000003,9,0,2026-08-25_09:43:29.675266,9,,,,,,,,,,,None,9,9,0,9,belt,ceinture,Gürtel,
,,1.25,39.24018360000002,40.48922120000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,39.25320930000004,40.61578350000002,37.7391035,59.38778322033375,,,36.98749550000002,37.7391035,,,36.9733066,37.72261070000002,bike.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,37.7391035,39.25320930000004,1,left,,5,,,2025.2.4,,,,,,37.72582520000003,39.24013880000001,,,,,37.73709676666665,38.4394446,10,0,2026-08-25_09:43:33.074107,10,,,,,,,,,,,None,10,10,0,10,bicycle,vélo,Fahrrad,
,,,,,,,,,,,,,,,,,,,,,,,,,0.10571350000003576,r,13.037488099999962,41.004653399999995,,,,,,,,,,,,,,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,,,,59.38778322033375,,,,,,,,,,,,,,,40.61578350000002,,,,,,,,,,40.610529799999995,54.1514219,,,,,,,,,,,,,,5,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06149249999998574,r,0.097481700000003,54.66663650000004,,,,,,,,,,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,,,,59.38778322033375,,,,,,,,,,,,,,,,54.17928740000002,,,,,,,,,,,54.16569350000003,54.83533090000003,,,,,,,,,,,,5,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.36703560000001,58.250564499999996,0.88,,,1,58.25741620000002,58.25747860000001,,,watch,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-25_09h42.54.722,4,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,55.895226500000035,57.38355210000003,58.282639700000004,,,,59.38778322033375,55.102824999999996,55.895226500000035,,,55.085910100000035,55.852483199999995,,,watch\watch_04.png,,,,,,,,,,,,,,,,,,,,0,0,1,None,55.895226500000035,,,,,None,,5,,,2025.2.4,,,1,55.87787359999999,57.36695610000004,,,None,None,55.883752033333366,56.64969410000003,,,0,0,2026-08-25_09:43:51.189436,0,1,localizer,,None,,None,0,0,0,0,,,,,,watch,,Uhr,
60.5494152,61.5356893,0.98,,,1,61.53579080000003,61.535840500000006,,,bottle,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-25_09h42.54.722,2,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,59.06094230000002,60.56232180000001,61.63377589999999,,,,59.38778322033375,58.282639700000004,59.06094230000002,,,58.271932700000036,59.033545000000004,,,bottle\bottle_02.png,,,,,,,,,,,,,,,,,,,,0,0,1,None,59.06094230000002,,,,,None,,5,,,2025.2.4,,,1,59.053689599999984,60.54935290000003,,,None,None,59.06459313333332,60.01435100000003,,,1,0,2026-08-25_09:43:54.369251,1,2,localizer,,None,,None,1,1,0,1,,,,,,bottle,,Flasche,
