promptFile	correctFile	dist_01File	dist_02File	correct_pos	dist01_pos	dist02_pos	correct_ans	thisN	thisTrialN	thisRepN	key_resp_2.keys	key_resp_2.rt	key_resp_2.duration	trial_type	img_first	img_second	img_third	opt_left	opt_right	correct_side	correct_key	distance_correct	image_dur_retr	fix_dur_retr	ImageExamplePath	iti_dur_retr	reflection_win_dur	practice_learning.thisRepN	practice_learning.thisTrialN	practice_learning.thisN	practice_learning.thisIndex	retrieval_prc_loop.thisRepN	retrieval_prc_loop.thisTrialN	retrieval_prc_loop.thisN	retrieval_prc_loop.thisIndex	retry_loop.thisRepN	retry_loop.thisTrialN	retry_loop.thisN	retry_loop.thisIndex	resp_3.keys	thisRow.t	notes	startup_settings.started	startup_settings.stopped	instructions_01.started	instruction_part1.started	continue_button.started	instructions_01.stopped	continue_button.keys	continue_button.rt	continue_button.duration	instructions_02.started	instruction_part2.started	continue_button_3.started	instructions_02.stopped	continue_button_3.keys	continue_button_3.rt	continue_button_3.duration	instructions_03.started	instruction_part3.started	continue_button_4.started	instructions_03.stopped	continue_button_4.keys	continue_button_4.rt	continue_button_4.duration	instructions_04.started	instruction_part4.started	continue_button_5.started	instructions_04.stopped	continue_button_5.keys	continue_button_5.rt	continue_button_5.duration	instructions_05.started	instruction_part5.started	continue_button_6.started	instructions_05.stopped	continue_button_6.keys	continue_button_6.rt	continue_button_6.duration	instructions_06.started	instruction_part6.started	continue_button_7.started	instructions_06.stopped	continue_button_7.keys	continue_button_7.rt	continue_button_7.duration	instructions_replay_break.started	instructions_part16.started	continue_button_22.started	instructions_replay_break.stopped	continue_button_22.keys	continue_button_22.rt	continue_button_22.duration	practice_choice_display.started	polygon.started	prompt_prc.started	dist_01_prc.started	dist_02_prc.started	correct_prc.started	key_resp_2.started	instructions_choose_2.started	practice_choice_display.stopped	practice_learning.key_resp_2.keys	practice_learning.key_resp_2.rt	practice_learning.key_resp_2.duration	practice_feedback.started	polygon_7.started	prompt_prc_2.started	dist_01_prc_2.started	dist_02_prc_2.started	correct_prc_2.started	practice_feedback.stopped	rest_practice.started	fix_cross_2.started	rest_instruction.started	fix_cross_2.stopped	rest_instruction.stopped	rest_practice.stopped	instruction_retrieval_trials.started	instruction_part7.started	continue_button_8.started	instruction_retrieval_trials.stopped	continue_button_8.keys	continue_button_8.rt	continue_button_8.duration	instruction_retrievalques1.started	instruction_part10.started	continue_button_10.started	instruction_retrievalques1.stopped	continue_button_10.keys	continue_button_10.rt	continue_button_10.duration	instruction_retrievalques1_02.started	instruction_part13.started	continue_button_19.started	instruction_retrievalques1_02.stopped	continue_button_19.keys	continue_button_19.rt	continue_button_19.duration	instruction_retrievalques2.started	instruction_part11.started	continue_button_11.started	instruction_retrievalques2.stopped	continue_button_11.keys	continue_button_11.rt	continue_button_11.duration	instruction_retrievalques2_02.started	instruction_part14.started	continue_button_20.started	instruction_retrievalques2_02.stopped	continue_button_20.keys	continue_button_20.rt	continue_button_20.duration	instruction_refl_period.started	instruction_part12.started	continue_button_14.started	instruction_refl_period.stopped	continue_button_14.keys	continue_button_14.rt	continue_button_14.duration	instruction_refl_period_02.started	instruction_part15.started	continue_button_21.started	instruction_refl_period_02.stopped	continue_button_21.keys	continue_button_21.rt	continue_button_21.duration	retrieval_backg_info.started	instruction_info.started	continue_button_15.started	retrieval_backg_info.stopped	continue_button_15.keys	continue_button_15.rt	continue_button_15.duration	instruction_practice_type1.started	instruction_part8.started	continue_button_9.started	instruction_practice_type1.stopped	continue_button_9.keys	continue_button_9.rt	continue_button_9.duration	retrieval_type1_practice.started	fix_cross_retrbegin.started	fix_cross_retrbegin.stopped	retrieval_type1_practice.stopped	first_image_prc.started	image_1_prc.started	info_example_3.started	image_1_prc.stopped	info_example_3.stopped	first_image_prc.stopped	mask_retr1_prc.started	mask_img1.started	info_example_4.started	mask_img1.stopped	info_example_4.stopped	mask_retr1_prc.stopped	second_image_prc.started	image_2_prc.started	info_example_5.started	image_2_prc.stopped	info_example_5.stopped	second_image_prc.stopped	mask_retr2_prc.started	mask_img2.started	info_example_6.started	mask_img2.stopped	info_example_6.stopped	mask_retr2_prc.stopped	reflection_period.started	fix_cross_reflretr_2.started	text.started	fix_cross_reflretr_2.stopped	text.stopped	reflection_period.stopped	retr_response_order_prc.started	yes_txt_3.started	no_txt_3.started	polygon_9.started	resp_3.started	info_example_7.started	retr_response_order_prc.stopped	retry_loop.resp_3.keys	retry_loop.resp_3.rt	retry_loop.resp_3.duration	retr_response_distance_prc.started	resp_2.started	info_example.started	opt_2_prc.started	opt_3_prc.started	opt_4_prc.started	opt_5_prc.started	retr_response_distance_prc.stopped	retry_loop.resp_2.keys	retry_loop.resp_2.rt	retry_loop.resp_2.duration	retr_response_feedback.started	text_feedback.started	info_example_2.started	text_continue.started	continue_button_16.started	retr_response_feedback.stopped	retry_loop.continue_button_16.keys	retry_loop.continue_button_16.rt	retry_loop.continue_button_16.duration	yes_txt_3.stopped	no_txt_3.stopped	polygon_9.stopped	resp_3.stopped	info_example_7.stopped	participant_ID	date	expName	expVersion	psychopyVersion	frameRate	expStart	
stimuli/practice_images/bed.jpg	stimuli/practice_images/belt.jpg	stimuli/practice_images/anchor.jpg	stimuli/practice_images/desk.jpg	left	center	right	left	4	4	0	b	0.33482550003100187	None															0	4	4	4										45.04025640001055																																																					45.02276770002209	45.04025640001055	45.04025640001055	45.04025640001055	45.04025640001055	45.04025640001055	0.132062999997288	45.04025640001055	45.49085439997725	b	0.33482550003100187	None	45.61238429998048	45.64081630000146	45.64081630000146	45.64081630000146	45.64081630000146	45.64081630000146	46.59038260002853																																																																																																																																											3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
stimuli/practice_images/belt.jpg	stimuli/practice_images/bird.jpg	stimuli/practice_images/ant.jpg	stimuli/practice_images/crocodile.jpg	right	left	center	right	5	5	0	g	0.48464290000265464	None															0	5	5	5										46.756391800008714																																																					46.72564369998872	46.756391800008714	46.756391800008714	46.756391800008714	46.756391800008714	46.756391800008714	0.1352756000123918	46.756391800008714	47.34035600000061	g	0.48464290000265464	None	47.46109250001609	47.48974260000978	47.48974260000978	47.48974260000978	47.48974260000978	47.48974260000978	48.43978940002853																																																																																																																																											3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																																																																	48.44264540000586	48.45585129997926	48.45585129997926	53.470939700026065	53.470939700026065	53.454605099977925																																																																																																																																					3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																																																																							53.4628768999828	53.470939700026065	56.4700857999851	58.753216599987354	r	2.2762219000142068	None																																																																																																																														3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																																																																														58.76045709999744	58.76918940001633	61.75170000002254	62.68569399998523	r	0.9193695000139996	None																																																																																																																							3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																																																																																					62.69328270002734	62.701284800015856	65.70072010002332	66.55065719998674	r	0.8491819999762811	None																																																																																																																3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																																																																																												66.55783890001476	66.56672619999154	69.56602819997352	69.79958709998755	r	0.22348280000733212	None																																																																																																									3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																																																																																																			69.8056849000277	69.81577839999227	72.81505059998017	76.03103840001859	r	3.205695900018327	None																																																																																																		3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																																																																																																										76.03608649998205	76.04718769999454	79.04643109999597	79.06348070001695	r	0.004727599967736751	None																																																																																											3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																																																																																																																	79.07248999999138	79.07942590001039	82.07883920002496	83.32862250000471	r	1.2394530000165105	None																																																																																				3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																																																																																																																								83.33664739999222	83.34481590002542	83.82818730000872	85.77795509999851	r	1.948875300004147	None																																																																													3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																																																																																																																															85.7835404999787	85.79407669999637	86.27737710002111	86.47782750002807	r	0.19995130004826933	None																																																																						3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
								1	0	1				3	stimuli/practice_images/cow.jpg	stimuli/practice_images/basket.jpg	None	yes	no	left	left	2	2	0.5	stimuli/practice_images/practice_sequence_overview_t3_01.jpg	0.45	1.95					0	0	0	0	1	0	1	0		115.0355383999995																																																																																																																																													115.02169620001223	115.0355383999995	115.51777560001938	115.46832220000215	115.49966009997297	115.51777560001938	115.51777560001938	117.01751149998745	117.01751149998745	117.00120030000107	117.00391640001908	117.01751149998745	117.01751149998745	117.30075400002534	117.30075400002534	117.25127589999465	117.28828059998341	117.30075400002534	117.30075400002534	118.80031080002664	118.80031080002664	118.78386969998246	118.78665149997687	118.80031080002664	118.80031080002664	119.05028349999338	119.05028349999338	119.03391250001732	119.03396199998679	119.05028349999338	119.05028349999338	123.01561290002428	123.01561290002428	122.9992968000006	123.0027354999911	123.01561290002428	123.01561290002428	123.01561290002428	0.0034494000137783587	123.01561290002428	303.00960950000444	None	2.4633479000185616	None	303.0141471999814	0.00453520001610741	303.0254858999979	303.0254858999979	303.0254858999979	303.0254858999979	303.0254858999979	114.068806700001	g	2.4633479000185616	0.1985143999918364	114.07178210001439	114.08510909997858	114.08510909997858	114.08510909997858	114.56844669999555	115.01863120001508	y	0.43643859995063394	None	303.0254858999979	303.0254858999979	303.0254858999979	180.00975080003263	303.0254858999979								
