ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,0.99,30.369715399998313,31.368825300000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,30.383055299998887,31.43466979999903,28.699926799999957,59.82614522211062,,,27.902445399999124,28.699926799999957,,,27.881780799998523,28.653469699998823,banana.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,28.699926799999957,30.200057499998366,1,right,,0,,,2025.2.4,,,,,28.69373539999833,30.36965819999932,,,28.700643299999502,29.366867899998397,5,0,2026-07-31_12:51:54.690655,5,,,,,,,,,,None,5,5,0,5,banana,banane,Banane,
,,0.79,33.90193719999843,34.7027137999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,33.91591899999912,34.75186689999828,32.23204649999934,59.82614522211062,,,31.43466979999903,32.23204649999934,,,31.412728599998445,32.18513119999989,glasses.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,32.23204649999934,33.73301959999844,1,left,,0,,,2025.2.4,,,,,32.216452099999515,33.901890099999946,,,32.23270419999862,32.74893619999966,6,0,2026-07-31_12:51:58.222880,6,,,,,,,,,,None,6,6,0,6,glasses,lunettes,Brille,
,,0.77,37.219839199999114,38.001513299999715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,37.23326299999826,38.06656699999985,35.54802839999866,59.82614522211062,,,34.75186689999828,35.54802839999866,,,34.73848399999952,35.50319329999911,basket.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,35.54802839999866,37.048574099999314,1,right,,0,,,2025.2.4,,,,,35.53739969999879,37.219767699998556,,,35.548878899999906,36.03189719999864,7,0,2026-07-31_12:52:01.540077,7,,,,,,,,,,None,7,7,0,7,basket,panier,Korb,
,,1.23,40.51652990000002,41.751505299998826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,40.532340899999326,41.817250399999466,38.86507299999903,59.82614522211062,,,38.06656699999985,38.86507299999903,,,38.04656579999937,38.802200999998604,bear.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,38.86507299999903,40.36427149999872,0,right,,0,,,2025.2.4,,,,,38.84548089999953,40.51643819999845,,,38.849113199998826,39.43170669999927,8,0,2026-07-31_12:52:04.854777,8,,,,,,,,,,None,8,8,0,8,milk,lait,Milch,
,,1.1,44.28248039999926,45.38266889999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,44.29550500000005,45.44658849999905,42.59516679999979,59.82614522211062,,,41.817250399999466,42.59516679999979,,,41.79368609999983,42.5659958999986,belt.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,42.59516679999979,44.095514799999364,1,left,,0,,,2025.2.4,,,,,42.58770959999856,44.28240899999946,,,42.596238833332364,43.198487899999236,9,0,2026-07-31_12:52:08.605461,9,,,,,,,,,,None,9,9,0,9,belt,ceinture,Gürtel,
,,1.25,47.91397919999872,49.18235409999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,47.92866139999933,49.37643349999962,46.22916779999832,59.82614522211062,,,45.44658849999905,46.22916779999832,,,45.43552389999968,46.18297619999976,bike.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,46.22916779999832,47.7285512999988,1,left,,0,,,2025.2.4,,,,,46.210443099998884,47.9139095999999,,,46.21263883333316,46.92936389999886,10,0,2026-07-31_12:52:12.234799,10,,,,,,,,,,None,10,10,0,10,bicycle,vélo,Fahrrad,
,,,,,,,,,,,,,,,,,,,,,,,,,93.40784730000087,r,0.3817992000003869,49.695816899999045,,,,,,,,,,,,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,,,,59.82614522211062,,,,,,,,,,,,,,,49.37643349999962,,,,,,,,,,49.36774999999943,104.18089959999998,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2346414999992703,r,54.901650800000425,104.69304229999943,,,,,,,,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,,,,59.82614522211062,,,,,,,,,,,,,,,,104.20930859999862,,,,,,,,,,,104.1985468999992,104.847415799999,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.2168931999986,108.19489449999855,0.97,,,1,108.20655109999825,108.20661549999932,,,hammer,7,7,,,,,,,,,,,,,,,,,,,,,,,,,None,,None,2026-07-31_12h51.25.059,47,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,105.89297989999977,,106.22496039999896,108.2950925999994,,,,59.82614522211062,105.1029925999992,105.89297989999977,,,105.08322429999862,105.84608989999833,,,hammer\hammer_47.jpg,,,,,,,,,,,,,,,,,,,,0,1,0.24526890000015555,r,1.0544781000007788,105.89297989999977,,,,,None,,0,,,2025.2.4,,,105.87573069999962,106.21681539999918,,,105.87670323333307,,,,0,0,2026-07-31_12:53:11.891203,0,1,None,0.24526890000015555,r,1.0544781000007788,0,0,0,0,,,,,,hammer,Marteau,Hammer,
110.77953999999954,111.56058940000003,0.77,,,1,111.56066819999978,111.56070829999953,,,hand,8,8,,,,,,,,,,,,,,,,,,,,,,,,,None,,None,2026-07-31_12h51.25.059,50,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,109.09195259999979,110.79168579999896,110.79168579999896,111.62927239999954,,,,59.82614522211062,108.2950925999994,109.09195259999979,,,108.27345549999882,109.04669459999968,,,hand\hand_50.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,109.09195259999979,,,,,None,,0,,,2025.2.4,,,109.08077999999841,110.77942469999834,,,109.0922011999999,109.59216859999833,,,1,0,2026-07-31_12:53:15.083303,1,2,None,,None,,1,1,0,1,,,,,,hand,Main,Hand,
