subject	block_num	trial_num	component_label	onset	duration	type_of_stimulus	concept_label	concept_examplar	response_time	response	expected_response	wrd_img_match	correct
0	n/a	n/a	instruction_part1	0.06861439999920549	6.987359999999171	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part2	7.086423900000227	0.7748189000012644	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part3	7.900627300001361	0.7268554999973276	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part4	8.64938439999969	0.7429064999996626	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_start	48.20341760000156	13.350884499999665	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_start_2	61.58245729999908	n/a	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	1	image	62.90193619999991	0.7703876666676166	image	hammer	hammer_47.jpg	n/a	n/a	n/a	1	n/a
0	1	1	word	63.672323866667526	3.6600875000003725	word	Hammer_german	n/a	n/a	n/a	n/a	1	n/a
0	1	1	possible_button_press	63.9877344000015	0.0	response	n/a	n/a	1.5928318000005675	r	m	1	0
0	1	1	fix_cross_after_trial	63.99947059999977	1.9714889666650066	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	2	image	66.0534488000012	0.7634991666639195	image	hand	hand_50.jpg	n/a	n/a	n/a	1	n/a
0	1	2	possible_button_press	68.53572340000028	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	2	fix_cross_after_trial	68.54914070000086	0.7844043666666636	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	3	image	69.38752720000048	0.7612456666650047	image	hammer	hammer_37.jpg	n/a	n/a	n/a	1	n/a
0	1	3	word	70.14877286666548	0.5335697000009532	word	Hammer_german	n/a	n/a	n/a	n/a	1	n/a
0	1	3	possible_button_press	71.85799979999865	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	3	fix_cross_after_trial	71.88029559999995	1.067007766665725	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	4	image	73.02282080000077	0.7572649666656304	image	jacket	jacket_45.jpg	n/a	n/a	n/a	1	n/a
0	1	4	word	73.7800857666664	0.5670022999984212	word	Jacke_german	n/a	n/a	n/a	n/a	1	n/a
0	1	4	possible_button_press	75.4710253000012	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	4	fix_cross_after_trial	75.47983190000014	1.184281466667258	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	5	image	76.7171774999988	0.7626324666673696	image	house	house_24.jpg	n/a	n/a	n/a	1	n/a
0	1	5	word	77.47980996666617	0.5649588999986008	word	Haus_german	n/a	n/a	n/a	n/a	1	n/a
0	1	5	possible_button_press	79.18738699999813	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	5	fix_cross_after_trial	79.19518869999956	0.8179635666677001	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	6	image	80.04782619999969	0.7647286666654196	image	bread	bread_32.jpg	n/a	n/a	n/a	1	n/a
0	1	6	word	80.81255486666511	4.14796810000189	word	Brot_german	n/a	n/a	n/a	n/a	1	n/a
0	1	6	possible_button_press	81.41743499999939	0.0	response	n/a	n/a	0.203101200000674	r	m	1	0
0	1	6	fix_cross_after_trial	81.42678199999864	2.183249466667135	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	7	image	83.64748740000141	0.7637565666666575	image	jacket	jacket_19.jpg	n/a	n/a	n/a	1	n/a
0	1	7	possible_button_press	86.1297029999987	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	7	fix_cross_after_trial	86.14358179999908	1.2335769666681387	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	8	image	87.42877969999972	0.7646673666679504	image	bread	bread_28.jpg	n/a	n/a	n/a	1	n/a
0	1	8	word	88.19344706666767	0.9317243000004964	word	Brot_german	n/a	n/a	n/a	n/a	1	n/a
0	1	8	possible_button_press	89.90021540000089	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	8	fix_cross_after_trial	89.90912709999975	1.103567266666019	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	9	image	91.08237830000144	0.7601829666639475	image	jacket	jacket_48.jpg	n/a	n/a	n/a	0	n/a
0	1	9	word	91.84256126666538	0.583823000000848	word	Stuhl_german	n/a	n/a	n/a	n/a	0	n/a
0	1	9	possible_button_press	93.56154759999845	0.0	response	n/a	n/a	[]	m	r	0	0
0	1	9	fix_cross_after_trial	93.57502609999938	1.1981592666673038	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	10	image	94.8302111999983	0.765199266669029	image	dog	dog_10.jpg	n/a	n/a	n/a	1	n/a
0	1	10	word	95.612077133334	0.5109002333335724	word	Hund_german	n/a	n/a	n/a	n/a	1	n/a
0	1	10	possible_button_press	97.3100513999998	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	10	fix_cross_after_trial	97.3273655999983	1.1293452666689205	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	11	image	98.54670550000083	0.7598967666638288	image	flower	flower_45.jpg	n/a	n/a	n/a	1	n/a
0	1	11	word	99.33993559999799	0.8984316666678467	word	Blume_german	n/a	n/a	n/a	n/a	1	n/a
0	1	11	possible_button_press	101.01056840000092	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	11	fix_cross_after_trial	101.02211629999874	1.1841411666685104	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	12	image	102.26256640000065	0.7599274666647631	image	house	house_39.jpg	n/a	n/a	n/a	1	n/a
0	1	12	word	103.02249386666541	0.5657336000003852	word	Haus_german	n/a	n/a	n/a	n/a	1	n/a
0	1	12	possible_button_press	104.7248056999997	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	12	fix_cross_after_trial	104.73905670000022	0.7806483666647779	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	13	image	105.57850139999937	0.75849126666823	image	hammer	hammer_42.jpg	n/a	n/a	n/a	0	n/a
0	1	13	word	106.3369926666676	0.8987135999996099	word	Blume_german	n/a	n/a	n/a	n/a	0	n/a
0	1	13	possible_button_press	108.06048240000018	0.0	response	n/a	n/a	[]	m	r	0	0
0	1	13	fix_cross_after_trial	108.06922919999852	1.1506452666692581	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	14	image	109.25707749999856	0.7623107666661468	image	dog	dog_15.jpg	n/a	n/a	n/a	1	n/a
0	1	14	word	110.0193882666647	0.4992552000003343	word	Hund_german	n/a	n/a	n/a	n/a	1	n/a
0	1	14	possible_button_press	111.73950540000078	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	14	fix_cross_after_trial	111.75227369999993	1.0001940666663955	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	15	image	112.7881621000015	0.7535349666652706	image	chair	chair_40.jpg	n/a	n/a	n/a	1	n/a
0	1	15	word	113.54169706666677	0.5594454999991285	word	Stuhl_german	n/a	n/a	n/a	n/a	1	n/a
0	1	15	possible_button_press	115.25464930000089	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	15	fix_cross_after_trial	115.27235519999886	0.928138066669149	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	16	image	116.27496009999959	0.7637521666658955	image	ball	ball_36.jpg	n/a	n/a	n/a	1	n/a
0	1	16	word	117.03871226666548	0.7934120999998413	word	Ball_german	n/a	n/a	n/a	n/a	1	n/a
0	1	16	possible_button_press	118.75371950000044	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	16	fix_cross_after_trial	118.77126009999847	0.899672066669396	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	17	image	119.70765259999826	0.7584874666683987	image	bicycle	bicycle_10.jpg	n/a	n/a	n/a	1	n/a
0	1	17	word	120.46614006666665	0.7021314999983588	word	Fahrrad_german	n/a	n/a	n/a	n/a	1	n/a
0	1	17	possible_button_press	122.17462979999982	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	17	fix_cross_after_trial	122.18276429999969	1.0157482666657103	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	18	image	123.2338869999985	0.7644803666664899	image	hand	hand_19.jpg	n/a	n/a	n/a	1	n/a
0	1	18	word	123.998367366665	0.49906950000149664	word	Hand_german	n/a	n/a	n/a	n/a	1	n/a
0	1	18	possible_button_press	125.70024600000033	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	18	fix_cross_after_trial	125.71430160000091	1.0998958666643972	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	19	image	126.88861660000111	0.7632943666651641	image	bread	bread_47.jpg	n/a	n/a	n/a	1	n/a
0	1	19	word	127.65191096666628	0.9279873000014192	word	Brot_german	n/a	n/a	n/a	n/a	1	n/a
0	1	19	possible_button_press	129.3663118000004	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	19	fix_cross_after_trial	129.38043610000022	0.8816535666667562	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	20	image	130.30168090000006	0.7610651666657589	image	ball	ball_04.jpg	n/a	n/a	n/a	1	n/a
0	1	20	word	131.06274606666582	0.7817849000020942	word	Ball_german	n/a	n/a	n/a	n/a	1	n/a
0	1	20	possible_button_press	132.7659633000003	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	20	fix_cross_after_trial	132.7839200999988	1.0977501666677938	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	21	image	133.91517889999886	0.7525002666664307	image	jacket	jacket_37.jpg	n/a	n/a	n/a	1	n/a
0	1	21	word	134.6676791666653	0.5499118000007002	word	Jacke_german	n/a	n/a	n/a	n/a	1	n/a
