subject	trial_type	block_name	sequence_name	route_num	trial_num	component_label	concept_label	concept_exemplar	onset	duration	type_of_stimulus	response_time	response	response_meaning	expected_response	correct	distance_correct
n/a	learn	1.0	A	2	4	correct_moving	n/a	n/a	374.0538097000099	1.0453152999980375	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	5	current_image	bread/bread_04.jpg	bread/bread_04.jpg	375.74498270003824	4.871003300009761	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	5	corr_next_image	bicycle/bicycle_49.jpg	bicycle/bicycle_49.jpg	375.74498270003824	4.871010200004093	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	5	distractor 01 (close)	car/car_36.jpg	car/car_36.jpg	375.74498270003824	4.871015799988527	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	5	distractor 02 (far)	ball/ball_37.jpg	ball/ball_37.jpg	375.74498270003824	4.871020799968392	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	5	n/a	n/a	n/a	380.61601380002685	0.0	choice	[]	m	n/a	left	n/a	n/a
n/a	learn	1.0	A	2	5	correct_moving	n/a	n/a	380.7418660999974	0.9533155000535771	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	6	current_image	bicycle/bicycle_49.jpg	bicycle/bicycle_49.jpg	382.3388606000226	0.7004250999889337	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	6	corr_next_image	flower/flower_07.jpg	flower/flower_07.jpg	382.3388606000226	0.7004316999809816	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	6	distractor 01 (close)	hammer/hammer_35.jpg	hammer/hammer_35.jpg	382.3388606000226	0.7004370000213385	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	6	distractor 02 (far)	guitar/guitar_22.jpg	guitar/guitar_22.jpg	382.3388606000226	0.7004410999943502	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	6	n/a	n/a	n/a	383.0393109000288	0.0	choice	0.5959693000186235	g	distractor_01	right	False	n/a
n/a	learn	1.0	A	2	6	correct_moving	n/a	n/a	383.15544210001826	0.9502124999999069	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	7	current_image	flower/flower_07.jpg	flower/flower_07.jpg	384.2550661000423	1.9003898999653757	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	7	corr_next_image	jacket/jacket_29.jpg	jacket/jacket_29.jpg	384.2550661000423	1.9003952000057325	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	7	distractor 01 (close)	ball/ball_37.jpg	ball/ball_37.jpg	384.2550661000423	1.90039899997646	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	7	distractor 02 (far)	bread/bread_04.jpg	bread/bread_04.jpg	384.2550661000423	1.900402600003872	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	7	n/a	n/a	n/a	386.1554780000006	0.0	choice	1.798401499981992	g	target	left	True	n/a
n/a	learn	1.0	A	2	7	correct_moving	n/a	n/a	386.2879428000306	0.9508053999743424	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	8	current_image	jacket/jacket_29.jpg	jacket/jacket_29.jpg	387.47100930003216	1.533823299978394	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	8	corr_next_image	chair/chair_21.jpg	chair/chair_21.jpg	387.47100930003216	1.533830799977295	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	8	distractor 01 (close)	dog/dog_36.jpg	dog/dog_36.jpg	387.47100930003216	1.5338365999632515	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	8	distractor 02 (far)	key/key_28.jpg	key/key_28.jpg	387.47100930003216	1.5338420000043698	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	8	n/a	n/a	n/a	389.00486290000845	0.0	choice	1.4831990999518894	r	distractor_01	left	False	n/a
n/a	learn	1.0	A	2	8	correct_moving	n/a	n/a	389.15378010005224	0.9509185999631882	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	9	current_image	chair/chair_21.jpg	chair/chair_21.jpg	390.1860011999961	0.9679260000120848	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	9	corr_next_image	dog/dog_36.jpg	dog/dog_36.jpg	390.1860011999961	0.9679321000003256	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	9	distractor 01 (close)	hammer/hammer_35.jpg	hammer/hammer_35.jpg	390.1860011999961	0.9679368000361137	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	9	distractor 02 (far)	house/house_30.jpg	house/house_30.jpg	390.1860011999961	0.9679414000129327	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	9	n/a	n/a	n/a	391.1539522000239	0.0	choice	0.8608191999956034	b	target	right	True	n/a
n/a	learn	1.0	A	2	9	correct_moving	n/a	n/a	391.2195436000475	0.951380499987863	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	10	current_image	dog/dog_36.jpg	dog/dog_36.jpg	392.2693277000217	1.5673350000288337	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	10	corr_next_image	hammer/hammer_35.jpg	hammer/hammer_35.jpg	392.2693277000217	1.5673423000262119	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	10	distractor 01 (close)	guitar/guitar_22.jpg	guitar/guitar_22.jpg	392.2693277000217	1.5673477000091225	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	10	distractor 02 (far)	jacket/jacket_29.jpg	jacket/jacket_29.jpg	392.2693277000217	1.5673531999927945	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	10	n/a	n/a	n/a	393.83669030002784	0.0	choice	1.4683788999682292	g	distractor_01	right	False	n/a
n/a	learn	1.0	A	2	10	correct_moving	n/a	n/a	393.91858340002364	0.9510177000192925	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	11	current_image	hammer/hammer_35.jpg	hammer/hammer_35.jpg	395.01865090004867	2.5182953999610618	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	11	corr_next_image	hand/hand_38.jpg	hand/hand_38.jpg	395.01865090004867	2.5183004999998957	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	11	distractor 01 (close)	key/key_28.jpg	key/key_28.jpg	395.01865090004867	2.5183043999713846	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	11	distractor 02 (far)	chair/chair_21.jpg	chair/chair_21.jpg	395.01865090004867	2.5183082000003196	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	11	n/a	n/a	n/a	397.5369684000034	0.0	choice	2.4357283000135794	g	target	left	True	n/a
n/a	learn	1.0	A	2	11	correct_moving	n/a	n/a	397.6502696000389	0.9515067999600433	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	12	current_image	hand/hand_38.jpg	hand/hand_38.jpg	398.70039300003555	2.533750400005374	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	12	corr_next_image	guitar/guitar_22.jpg	guitar/guitar_22.jpg	398.70039300003555	2.5337582000065595	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	12	distractor 01 (close)	fish/fish_19.jpg	fish/fish_19.jpg	398.70039300003555	2.5337643999955617	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	12	distractor 02 (far)	jacket/jacket_29.jpg	jacket/jacket_29.jpg	398.70039300003555	2.533770399983041	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	12	n/a	n/a	n/a	401.234175300051	0.0	choice	2.421331999998074	b	distractor_01	left	False	n/a
n/a	learn	1.0	A	2	12	correct_moving	n/a	n/a	401.31612670002505	0.9507951000123285	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	13	current_image	guitar/guitar_22.jpg	guitar/guitar_22.jpg	402.4157434000517	1.6851349999778904	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	13	corr_next_image	key/key_28.jpg	key/key_28.jpg	402.4157434000517	1.6851418999722227	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	13	distractor 01 (close)	bread/bread_04.jpg	bread/bread_04.jpg	402.4157434000517	1.6851472999551333	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	13	distractor 02 (far)	dog/dog_36.jpg	dog/dog_36.jpg	402.4157434000517	1.6851525999954902	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	13	n/a	n/a	n/a	404.1009063000092	0.0	choice	1.582824699988123	r	target	center	True	n/a
n/a	learn	1.0	A	2	13	correct_moving	n/a	n/a	404.24946920003276	0.9840919999987818	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	2	13	fix_cross_replay_break	n/a	n/a	405.2484309000429	4.999346866625501	replay_break	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	0	retrieval_ITIcross	n/a	n/a	411.32968290004646	0.4506976666200444	fixcross	n/a	n/a	n/a	n/a	n/a	3
n/a	retr_1	block1	A	n/a	0	image_1_retr	bread/bread_04.jpg	bread/bread_04.jpg	411.79704723333316	1.0001323333669916	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	0	image_2_retr	jacket/jacket_29.jpg	jacket/jacket_29.jpg	413.06429263333166	0.9988371333417945	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_order	block1	A	n/a	0	n/a	n/a	n/a	418.04535850003595	0.0	choice	1.742621399986092	g	left	right	False	3
