subject	block_num	trial_num	component_label	onset	duration	type_of_stimulus	concept_label	concept_examplar	trigger_value	trigger_onset	trigger_delay	response_time	press_onset_est	response	expected_response	wrd_img_match	correct
0	n/a	n/a	exp_start	0.0012848000042140484	0.0	trigger	n/a	n/a	255	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part1	0.04058949998579919	1.366198599920608	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part2	1.4267676000017673	0.5465260999044403	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part3	1.9994218999054283	0.7901851000497118	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part4	2.810972600011155	0.6284942999482155	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_start	40.35861929995008	6.096459100022912	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_start_2	46.48620399995707	n/a	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	1	image	49.327154799946584	0.7575901667044178	image	book	book_08.png	7	49.32723309996072	7.830001413822174e-05	n/a	n/a	n/a	n/a	1	n/a
0	n/a	n/a	image	49.32723309996072	0.0	trigger	n/a	n/a	7	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	1	word	50.08640979998745	0.875657366650799	word	Buch_german	n/a	107	50.08644159999676	3.1800009310245514e-05	n/a	n/a	n/a	n/a	1	n/a
0	n/a	n/a	word	50.08644159999676	0.0	trigger	n/a	n/a	107	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	1	possible_button_press	51.57451309997123	0.0	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	m	m	1	1
0	1	1	fix_cross_after_trial	51.59081289998721	0.9827998666480795	fixation cross	n/a	n/a	94	51.590847899904475	3.499991726130247e-05	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	fix_cross_iti	51.590847899904475	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
