block,trial_in_block,trial_type,is_buffer,show_word,concept,concept_num,concept_num_word,exemplar_num,image_shown,word_shown_english,word_shown_german,word_shown_french,is_prompt,is_mismatch,ITI_length,correct_response,nonmatch_pres_side,source_sequence,source_sequence_position,ITI_length_raw,block_raw,concept_num_raw,concept_num_word_raw,concept_raw,continue_button_break.duration_raw,continue_button_break.keys_raw,continue_button_break.rt_raw,correct_response_raw,exemplar_num_raw,image_shown_raw,is_buffer_raw,is_mismatch_raw,is_prompt_raw,key_resp.duration_raw,key_resp.keys_raw,key_resp.rt_raw,nonmatch_pres_side_raw,show_word_raw,source_sequence_position_raw,source_sequence_raw,thisN_raw,thisRepN_raw,thisTrialN_raw,trial_in_block_raw,trial_type_raw,word_shown_english_raw,word_shown_french_raw,word_shown_german_raw
1,1,localizer,0,1,dog,5,5,41,dog\dog_41.jpg,dog,Hund,Chien,1,0,1.02,None,None,None,None,1.02,1,5,5,dog,nan,,nan,,41,dog\dog_41.jpg,0,0,1,nan,,nan,,1,,,0,0,0,1,localizer,dog,Chien,Hund
1,2,localizer,0,1,ball,1,1,4,ball\ball_04.jpg,ball,Ball,Ballon,1,0,1.19,None,None,None,None,1.19,1,1,1,ball,nan,,nan,,4,ball\ball_04.jpg,0,0,1,nan,,nan,,1,,,1,0,1,2,localizer,ball,Ballon,Ball
1,3,localizer,0,1,hand,8,8,21,hand\hand_21.jpg,hand,Hand,Main,1,0,1.06,None,None,None,None,1.06,1,8,8,hand,nan,,nan,,21,hand\hand_21.jpg,0,0,1,nan,,nan,,1,,,2,0,2,3,localizer,hand,Main,Hand
1,4,localizer,0,1,chair,4,4,24,chair\chair_24.jpg,chair,Stuhl,Chaise,1,0,0.98,None,None,None,None,0.98,1,4,4,chair,nan,,nan,,24,chair\chair_24.jpg,0,0,1,nan,,nan,,1,,,3,0,3,4,localizer,chair,Chaise,Stuhl
1,5,localizer,0,1,hammer,7,1,17,hammer\hammer_17.jpg,ball,Ball,Ballon,1,1,0.91,r,left,None,None,0.91,1,7,1,hammer,nan,,nan,r,17,hammer\hammer_17.jpg,0,1,1,0.16618820000439882,r,1.0429004000034183,left,1,,,4,0,4,5,localizer,ball,Ballon,Ball
1,6,localizer,0,1,jacket,10,10,36,jacket\jacket_36.jpg,jacket,Jacke,Veste,1,0,1.23,None,None,None,None,1.23,1,10,10,jacket,nan,,nan,,36,jacket\jacket_36.jpg,0,0,1,nan,,nan,,1,,,5,0,5,6,localizer,jacket,Veste,Jacke
1,7,localizer,0,1,bicycle,2,2,48,bicycle\bicycle_48.jpg,bicycle,Fahrrad,Vélo,1,0,1.2,None,None,None,None,1.2,1,2,2,bicycle,nan,,nan,,48,bicycle\bicycle_48.jpg,0,0,1,nan,,nan,,1,,,6,0,6,7,localizer,bicycle,Vélo,Fahrrad
1,8,localizer,0,1,hammer,7,7,13,hammer\hammer_13.jpg,hammer,Hammer,Marteau,1,0,0.83,None,None,None,None,0.83,1,7,7,hammer,nan,,nan,,13,hammer\hammer_13.jpg,0,0,1,nan,,nan,,1,,,7,0,7,8,localizer,hammer,Marteau,Hammer
1,9,localizer,0,1,flower,6,6,25,flower\flower_25.jpg,flower,Blume,Fleur,1,0,0.97,None,None,None,None,0.97,1,6,6,flower,nan,,nan,,25,flower\flower_25.jpg,0,0,1,nan,,nan,,1,,,8,0,8,9,localizer,flower,Fleur,Blume
1,10,localizer,0,1,bread,3,3,42,bread\bread_42.jpg,bread,Brot,Pain,1,0,0.96,None,None,None,None,0.96,1,3,3,bread,nan,,nan,,42,bread\bread_42.jpg,0,0,1,nan,,nan,,1,,,9,0,9,10,localizer,bread,Pain,Brot
