continue_button.started,date,expName,expStart,expVersion,frameRate,instruction_part1.started,instructions.started,notes,participant,psychopyVersion,settings.started,settings.stopped,thisRow.t,
,2026-07-12_21h55.08.869,TSRlearn_localizer-concepts,2026-07-12 21h55.09.958729 +0200,,59.51169464312653,,,,0,2025.2.4,0.011600300000282004,0.011662900000374066,,
0.03981489999932819,,,,,,0.03981489999932819,0.03050249999796506,,,,,,,
